UID,Symbol,Name,Half-lives in LB,Half-lives in M9
B3315,rplV,rplV 50S ribosomal subunit protein L22 ,,9.4
B3316,rpsS,rpsS 30S ribosomal subunit protein S19 ,,7
B3317,rplB,rplB 50S ribosomal subunit protein L2 ,6.9,7.8
B3318,rplW,rplW 50S ribosomal subunit protein L23 ,6.9,6.6
B3319,rplD,"rplD 50S ribosomal subunit protein L4, regulates expression of S10 operon ",4.9,6
B3320,rplC,rplC 50S ribosomal subunit protein L3 ,4.3,5.2
B3321,rpsJ,rpsJ 30S ribosomal subunit protein S10 ,7.1,5.1
B3322,pinO,pinO calcium-binding protein required for initiation of chromosome replication ,,6.2
B3323,yheD,yheD putative export protein A for general secretion pathway (GSP) ,,6.3
B3324,yheE,yheE putative general secretion pathway for protein export (GSP) ,,20.1
B3325,yheF,yheF putative general protein secretion protein ,4,7.5
B3326,yheG,yheG putative general secretion pathway for protein export (GSP) (TYPE II TRAFFIC WARDEN ATPASE) ,,10.4
B3327,hofF,hofF putative general protein secretion protein ,5.9,6.2
B3328,hofG,hofG putative general protein secretion protein ,6.6,10.2
B3329,hofH,hofH putative general protein secretion protein ,,6.7
B3330,yheH,yheH putative export protein for general secretion pathway (GSP) ,6.9,7.1
B3332,yheJ,yheJ putative export protein J for general secretion pathway (GSP) ,,
B3333,yheK,yheK putative general protein secretion protein ,6.5,7.9
B3334,pshM,pshM putative general secretion ,,5.6
B3335,hofD,"hofD leader peptidase, integral membrane protein ",8.4,6.5
B3336,Bfr,"Bfr bacterioferrin, an iron storage homoprotein ",,
B3337,yheA,"yheA orf, hypothetical protein ",,7.2
B3339,tufA,tufA protein chain elongation factor EF-Tu (duplicate of tufB) ,4.2,7
B3340,fusA,fusA GTP-binding protein chain elongation factor EF-G ,6.4,5.4
B3341,rpsG,"rpsG 30S ribosomal subunit protein S7, initiates assembly ",,
B3342,rpsL,rpsL 30S ribosomal subunit protein S12 ,,8
B3343,yheL,"yheL orf, hypothetical protein ",3.6,3.6
B3344,yheM,"yheM orf, hypothetical protein ",7.7,4.1
B3345,yheN,"yheN orf, hypothetical protein ",4.8,3.6
B3346,yheO,"yheO orf, hypothetical protein ",3.4,3.2
B3347,fkpA,fkpA FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) ,3.3,3.7
B3348,slyX,slyX host factor for lysis of phiX174 infection ,,4.4
B3350,kefB,kefB K+ efflux; NEM-activable K+/H+ antiporter ,4.5,4.8
B3351,yheR,yheR putative NAD(P)H oxidoreductase ,,5.3
B3352,yheS,yheS putative ATP-binding component of a transport system ,,4.9
B3353,yheT,"yheT orf, hypothetical protein ",3.6,3.8
B3354,yheU,"yheU orf, hypothetical protein ",,3.6
B3355,prkB,prkB probable phosphoribulokinase ,4.2,2.7
B3356,yhfA,"yhfA orf, hypothetical protein ",6.2,3.4
B3357,crp,crp cyclic AMP receptor protein ,,3.2
B3358,yhfK,"yhfK orf, hypothetical protein ",3.4,3.7
B3359,argD,argD acetylornithine delta-aminotransferase ,4.9,4.3
B3360,pabA,"pabA p-aminobenzoate synthetase, component II ",,5.3
B3361,fic,"fic induced in stationary phase, recognized by rpoS, affects cell division ",3.3,2.4
B3362,yhfG,"yhfG orf, hypothetical protein ",,4.8
B3363,ppiA,ppiA peptidyl-prolyl cis-trans isomerase A (rotamase A) ,1.9,7
B3364,yhfC,yhfC putative transport ,2.8,5.5
B3365,nirB,nirB nitrite reductase (NAD(P)H) subunit ,,6.3
B3366,nirD,nirD nitrite reductase (NAD(P)H) subunit ,,7.4
B3367,nirC,nirC nitrite reductase activity ,,7.3
B3368,cysG,cysG uroporphyrinogen III methylase; sirohaeme biosynthesis ,6.7,7.6
B3369,yhfL,"yhfL orf, hypothetical protein ",10.5,4.9
B3370,yhfM,yhfM putative amino acid/amine transport protein ,5.4,6
B3371,yhfN,yhfN putative transport protein ,5.5,5.5
B3372,yhfO,"yhfO orf, hypothetical protein ",5.6,4.5
B3373,yhfP,"yhfP orf, hypothetical protein ",6.5,
B3374,yhfQ,yhfQ putative kinase ,,5.2
B3375,yhfR,yhfR putative transcriptional regulator ,4.9,9.2
B3376,yhfS,"yhfS orf, hypothetical protein ",,7.3
B3377,yhfT,yhfT putative transport system permease protein ,,6.8
B3378,yhfU,"yhfU orf, hypothetical protein ",,
B3379,yhfV,yhfV putative hydrolase ,5,8.5
B3380,yhfW,yhfW putative mutase ,,5.9
B3382,yhfY,"yhfY orf, hypothetical protein ",6.1,8.4
B3383,yhfZ,"yhfZ orf, hypothetical protein ",,8.2
B3384,trpS,trpS tryptophan tRNA synthetase ,,
B3385,gph,gph phosphoglycolate phosphatase ,,
B3386,rpe,rpe D-ribulose-5-phosphate 3-epimerase ,,
B3387,dam,dam DNA adenine methylase ,3,3.1
B3388,damX,damX putative membrane protein; interferes with cell division ,2.7,2.5
B3389,aroB,aroB 3-dehydroquinate synthase ,1.7,1.7
B3390,aroK,aroK shikimate kinase I ,,4.3
B3391,hofQ,hofQ putative transport portein ,,7.7
B3392,yrfA,"yrfA orf, hypothetical protein ",,5.5
B3393,yrfB,"yrfB orf, hypothetical protein ",,6.1
B3394,yrfC,"yrfC orf, hypothetical protein ",,6
B3395,yrfD,"yrfD orf, hypothetical protein ",,6.6
B3396,mrcA,mrcA peptidoglycan synthetase; penicillin-binding protein 1A ,6,5.4
B3397,yrfE,"yrfE orf, hypothetical protein ",,5.5
B3398,yrfF,yrfF putative dehydrogenase ,4,5.6
B3399,yrfG,yrfG putative phosphatase ,3.9,4.4
B3400,yrfH,"yrfH orf, hypothetical protein ",4.2,3.2
B3401,yrfI,"yrfI orf, hypothetical protein ",,3.5
B3402,yhgE,yhgE putative transport ,5.8,7.3
B3403,pckA,pckA phosphoenolpyruvate carboxykinase ,,4.3
B3404,envZ,"envZ protein histidine kinase/phosphatase sensor for OmpR, modulates expression of ompF and ompC ",3.6,4.6
B3405,ompR,"ompR response regulator (sensor, EnvZ) affecting transcription of ompC and ompF: outer membrane protein synthesis ",3.2,14
B3407,yhgF,"yhgF orf, hypothetical protein ",4.8,2.8
B3408,feoA,feoA ferrous iron transport protein A ,6.1,5
B3409,feoB,feoB ferrous iron transport protein B ,2.6,4.1
B3410,yhgG,"yhgG orf, hypothetical protein ",4.6,5.1
B3411,yhgA,"yhgA orf, hypothetical protein ",,
B3412,BioH,BioH Biotin biosynthesis; reaction prior to pimeloyl CoA ,6.1,5.9
B3413,yhgH,"yhgH orf, hypothetical protein ",5,7
B3414,yhgI,"yhgI orf, hypothetical protein ",,2.6
B3415,gntT,gntT high-affinity transport of gluconate / gluconate permease ,,4.2
B3416,malQ,malQ 4-alpha-glucanotransferase (amylomaltase) ,,7.1
B3417,malP,malP maltodextrin phosphorylase ,3,6.6
B3418,malT,malT positive regulator of mal regulon ,,9.1
B3419,yhgJ,"yhgJ orf, hypothetical protein ",6.5,5.6
B3420,rtcA,rtcA RNA 3'-terminal phosphate cyclase ,5,6.3
B3421,rtcB,"rtcB orf, hypothetical protein ",,7.2
B3422,rtcR,rtcR putative 2-component regulator ,,
B3423,glpR,glpR repressor of the glp operon ,4,3.9
B3424,glpG,glpG protein of glp regulon ,4,5
B3425,glpE,glpE protein of glp regulon ,6.6,3.5
B3427,yzgL,"yzgL orf, hypothetical protein ",10,7.1
B3428,glgP,glgP glycogen phosphorylase ,,
B3429,glgA,glgA glycogen synthase ,,
B3430,glgC,glgC glucose-1-phosphate adenylyltransferase ,6.8,4.7
B3431,glgX,"glgX part of glycogen operon, a glycosyl hydrolase, debranching enzyme ",2.5,2.3
B3432,glgB,"glgB 1,4-alpha-glucan branching enzyme ",3.1,2.5
B3433,asd,asd aspartate-semialdehyde dehydrogenase ,7.2,3.7
B3434,yhgN,"yhgN orf, hypothetical protein ",,6.2
B3435,gntU_2,"gntU_2 low-affinity gluconate transport permease protein, fragment 2 ",4.7,5.7
B3436,gntU_1,"gntU_1 low-affinity gluconate transport permease protein, interrupted ",6.1,
B3437,gntK,"gntK gluconokinase 2, thermoresistant ",,5
B3438,gntR,gntR regulator of gluconate (gnt) operon ,,4.1
B3439,yhhW,"yhhW orf, hypothetical protein ",,5
B3440,yhhX,yhhX putative regulator ,,2.9
B3441,yhhY,"yhhY orf, hypothetical protein ",,4.9
B3442,yhhZ,"yhhZ orf, hypothetical protein ",10.3,5
B3443,yrhA,"yrhA orf, hypothetical protein ",,4.4
B3444,insA_6,insA_6 IS1 protein InsA ,,4.8
B3445,insB_6,insB_6 IS1 protein InsB ,,
B3446,yrhB,"yrhB orf, hypothetical protein ",6.3,5.1
B3447,ggt,ggt gamma-glutamyltranspeptidase ,,9
B3448,yhhA,"yhhA orf, hypothetical protein ",,3.1
B3449,ugpQ,"ugpQ glycerophosphodiester phosphodiesterase, cytosolic ",,4.3
B3450,ugpC,ugpC ATP-binding component of sn-glycerol 3-phosphate transport system ,2.9,3.8
B3451,ugpE,"ugpE sn-glycerol 3-phosphate transport system, integral membrane protein ",,5.6
B3452,ugpA,"ugpA sn-glycerol 3-phosphate transport system, integral membrane protein ",3.5,4.4
B3453,ugpB,ugpB sn-glycerol 3-phosphate transport system; periplasmic binding protein ,,6.8
B3454,livF,livF ATP-binding component of leucine transport ,3,2.7
B3455,livG,livG ATP-binding component of high-affinity branched-chain amino acid transport system ,,4.4
B3456,livM,livM high-affinity branched-chain amino acid transport ,,3.9
B3457,livH,livH high-affinity branched-chain amino acid transport system; membrane component ,,8.7
B3458,livK,livK high-affinity leucine-specific transport system; periplasmic binding protein ,,3.8
B3459,yhhK,"yhhK orf, hypothetical protein ",,6.4
B3460,livJ,livJ high-affinity amino acid transport system; periplasmic binding protein ,,9.7
B3461,rpoH,"rpoH RNA polymerase, sigma(32) factor; regulation of proteins induced at high temperatures ",2.9,3.6
B3462,ftsX,ftsX cell division membrane protein ,2.7,3.4
B3463,ftsE,ftsE ATP-binding component of a membrane-associated complex involved in cell division ,3.1,4.3
B3464,ftsY,ftsY cell division membrane protein ,2.4,3.4
B3465,yhhF,"yhhF orf, hypothetical protein ",4.5,5
B3466,yhhL,"yhhL orf, hypothetical protein ",,7.8
B3467,yhhM,yhhM putative receptor ,6.9,
B3468,yhhN,yhhN putative enzyme ,,6.2
B3469,zntA,zntA zinc-transporting ATPase ,5.1,11.8
B3470,yhhP,"yhhP orf, hypothetical protein ",5.4,5.4
B3471,yhhQ,"yhhQ orf, hypothetical protein ",4.7,3.4
B3472,B3472,"B3472 orf, hypothetical protein ",3.1,2.4
B3473,yhhS,yhhS putative transport ,7.2,6.1
B3474,yhhT,"yhhT orf, hypothetical protein ",,6.1
B3475,yhhU,"yhhU orf, hypothetical protein ",,4.9
B3476,nikA,nikA periplasmic binding protein for nickel ,,9.2
B3477,nikB,"nikB transport of nickel, membrane protein ",,9.6
B3478,nikC,"nikC transport of nickel, membrane protein ",,8.8
B3479,nikD,nikD ATP-binding protein of nickel transport system ,,9.2
B3480,nikE,nikE ATP-binding protein of nickel transport system ,5.7,22.6
B3481,yhhG,"yhhG orf, hypothetical protein ",7.4,4.6
B3482,rhsB,rhsB rhsB protein in rhs element ,,5.2
B3483,yhhH,"yhhH orf, hypothetical protein ",5.5,5.6
B3485,yhhJ,yhhJ putative transporter ,,
B3486,yhiH,"yhiH putative ATP-binding component of a transport system, fragment 1 ",,5.1
B3487,yhiI,yhiI putative membrane protein ,,8.3
B3488,yhiJ,"yhiJ orf, hypothetical protein ",,6.1
B3489,yhiK,"yhiK orf, hypothetical protein ",10,7.9
B3490,yhiL,"yhiL orf, hypothetical protein ",,4.4
B3491,yhiM,"yhiM orf, hypothetical protein ",6.8,3.9
B3492,yhiN,"yhiN orf, hypothetical protein ",,4.6
B3493,pitA,pitA low-affinity phosphate transport ,3,3.5
B3494,yhiO,"yhiO orf, hypothetical protein ",,
B3495,uspA,uspA universal stress protein; broad regulatory function? ,12.3,6.3
B3496,yhiP,yhiP putative transport protein ,2.8,4.7
B3497,yhiQ,"yhiQ orf, hypothetical protein ",5.2,4.7
B3498,prlC,prlC oligopeptidase A ,2.7,2.2
B3499,yhiR,"yhiR orf, hypothetical protein ",4.8,
B3500,gor,gor glutathione oxidoreductase ,4.2,6.5
B3501,arsR,arsR transcriptional repressor of chromosomal ars operon ,6.7,5.9
B3502,arsB,arsB arsenical pump membrane protein ,,7.3
B3503,arsC,arsC arsenate reductase ,,9.1
B3504,yhiS,"yhiS orf, hypothetical protein ",,7
B3505,trs5_11,trs5_11 IS5 transposase ,,
B3506,slp,slp outer membrane protein induced after carbon starvation ,,2.7
B3507,yhiF,"yhiF orf, hypothetical protein ",8.7,2.6
B3508,yhiD,yhiD putative transport ATPase ,,
B3509,hdeB,"hdeB orf, hypothetical protein ",5.9,6
B3510,hdeA,"hdeA orf, hypothetical protein ",,
B3511,hdeD,"hdeD orf, hypothetical protein ",8.6,3.4
B3512,yhiE,"yhiE orf, hypothetical protein ",9.5,4.1
B3513,yhiU,yhiU putative membrane protein ,4.6,2.8
B3514,yhiV,yhiV putative transport system permease protein ,,2.7
B3515,yhiW,yhiW putative ARAC-type regulatory protein ,,2.3
B3516,yhiX,yhiX putative ARAC-type regulatory protein ,,4.3
B3517,gadA,gadA glutamate decarboxylase isozyme ,,7.2
B3518,yhjA,yhjA putative cytochrome C peroxidase (EC 1.11.1) ,,3.2
B3519,treF,treF cytoplasmic trehalase ,,2.9
B3520,yhjB,yhjB putative regulator ,,4.6
B3521,yhjC,yhjC putative transcriptional regulator LYSR-type ,,4.6
B3522,yhjD,"yhjD orf, hypothetical protein ",,3.8
B3523,yhjE,yhjE putative transport protein ,,3.4
B3524,yhjG,"yhjG orf, hypothetical protein ",,
B3525,yhjH,"yhjH orf, hypothetical protein ",,4.9
B3526,kdgK,kdgK ketodeoxygluconokinase ,,
B3527,yhjJ,"yhjJ orf, hypothetical protein ",,5.9
B3528,dctA,dctA uptake of C4-dicarboxylic acids ,,7.7
B3529,yhjK,"yhjK orf, hypothetical protein ",,4.7
B3530,yhjL,yhjL putative oxidoreductase subunit ,,8.4
B3531,yhjM,yhjM putative endoglucanase ,3.7,7.7
B3532,yhjN,"yhjN orf, hypothetical protein ",,9.7
B3533,yhjO,yhjO putative cellulose synthase ,,5.6
B3534,yhjQ,"yhjQ orf, hypothetical protein ",4.6,2.9
B3535,yhjR,"yhjR orf, hypothetical protein ",,4
B3536,yhjS,yhjS putative protease ,,2.2
B3537,yhjT,"yhjT orf, hypothetical protein ",15.6,5
B3538,yhjU,"yhjU orf, hypothetical protein ",3,2.2
B3539,yhjV,yhjV putative transporter protein ,,
B3540,dppF,dppF putative ATP-binding component of dipeptide transport system ,2.2,
B3541,dppD,dppD putative ATP-binding component of dipeptide transport system ,,5.3
B3542,dppC,dppC dipeptide transport system permease protein 2 ,,5.1
B3543,dppB,dppB dipeptide transport system permease protein 1 ,5.1,8.7
B3544,dppA,dppA dipeptide transport protein ,5.2,5.2
B3546,yhjW,"yhjW orf, hypothetical protein ",7.1,5.7
B3547,yhjX,yhjX putative resistance protein ,4.5,5
B3548,yhjY,yhjY putative lipase ,,4.3
B3549,tag,"tag 3-methyl-adenine DNA glycosylase I, constitutive ",,3.2
B3550,yiaC,"yiaC orf, hypothetical protein ",4.5,4.5
B3551,BisC,BisC Biotin sulfoxide reductase ,3.3,2.4
B3552,yiaD,yiaD putative outer membrane protein ,,8.2
B3553,yiaE,yiaE putative dehydrogenase ,5.2,7.1
B3554,yiaF,"yiaF orf, hypothetical protein ",2.8,4
B3555,yiaG,"yiaG orf, hypothetical protein ",7.6,
B3556,cspA,"cspA cold shock protein 7.4, transcriptional activator of hns ",,6.9
B3557,yi5A,yi5A IS150 hypothetical protein ,,6.2
B3558,t150,t150 IS150 putative transposase ,,7.9
B3559,glyS,"glyS glycine tRNA synthetase, beta subunit ",2.4,2.6
B3560,glyQ,"glyQ glycine tRNA synthetase, alpha subunit ",2.1,2.3
B3562,yiaA,"yiaA orf, hypothetical protein ",,5.4
B3564,xylB,xylB xylulokinase ,,5.2
B3565,xylA,xylA D-xylose isomerase ,,11.8
B3566,xylF,xylF xylose binding protein transport system ,,8.1
B3567,xylG,xylG putative ATP-binding protein of xylose transport system ,,4.8
B3568,xylH,"xylH putative xylose transport, membrane component ",,11.5
B3569,xylR,xylR putative regulator of xyl operon ,,7.8
B3570,Bax,Bax putative ATP-binding protein ,4.2,2.6
B3571,malS,malS alpha-amylase ,4.1,11.8
B3572,avtA,"avtA alanine-alpha-ketoisovalerate (or valine-pyruvate) transaminase, transaminase C ",,
B3573,yiaI,"yiaI orf, hypothetical protein ",,3.7
B3575,yiaK,yiaK putative dehydrogenase ,,
B3576,yiaL,yiaL putative lipase ,5.2,5.3
B3577,yiaM,"yiaM orf, hypothetical protein ",,2.8
B3579,yiaO,yiaO putative solute-binding transport protein ,,6.8
B3580,lyxK,"lyxK L-xylulose kinase, cryptic ",,7
B3581,sgbH,sgbH probable 3-hexulose 6-phosphate synthase ,,5.8
B3582,sgbU,sgbU probable 3-hexulose-6-phosphate isomerase ,,6.8
B3583,sgbE,sgbE putative epimerase/aldolase ,5.4,5.4
B3584,yiaT,yiaT putative outer membrane protein ,,5.4
B3585,yiaU,yiaU putative transcriptional regulator LYSR-type ,,
B3587,yiaW,"yiaW orf, hypothetical protein ",,6
B3588,aldB,aldB aldehyde dehydrogenase B (lactaldehyde dehydrogenase) ,,13
B3589,yiaY,yiaY putative oxidoreductase ,,7.2
B3590,selB,selB selenocysteinyl-tRNA-specific translation factor ,2,2.9
B3591,selA,selA selenocysteine synthase: L-seryl-tRNA (Ser) selenium transferase ,3.4,3.6
B3592,yibF,yibF putative S-transferase ,4.4,4.4
B3593,rhsA,rhsA rhsA protein in rhs element ,4,5.9
B3595,yibJ,"yibJ orf, hypothetical protein ",,6.6
B3599,mtlA,"mtlA PTS system, mannitol-specific enzyme IIABC components ",2.5,3.7
B3600,mtlD,mtlD mannitol-1-phosphate dehydrogenase ,2.1,2.8
B3601,mtlR,mtlR repressor for mtl ,,5.1
B3603,lldP,lldP L-lactate permease ,2.2,7
B3604,lldR,lldR transcriptional regulator ,2.9,4.1
B3605,lldD,lldD L-lactate dehydrogenase ,5.4,6.2
B3606,yibK,"yibK orf, hypothetical protein ",2.9,5.5
B3607,cysE,cysE serine acetyltransferase ,2.7,3.5
B3608,gpsA,gpsA glycerol-3-phosphate dehydrogenase (NAD+) ,4.3,3.9
B3609,secB,secB protein export; molecular chaperone; may bind to signel sequence ,,3.6
B3610,grxC,grxC glutaredoxin 3 ,5.9,4.1
B3611,yibN,"yibN orf, hypothetical protein ",3.6,4.1
B3613,yibP,yibP putative membrane protein ,,4.6
B3616,tdh,tdh threonine dehydrogenase ,,7.4
B3617,kbl,kbl 2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) ,,11.7
B3618,htrL,htrL involved in lipopolysaccharide biosynthesis ,,4.6
B3619,rfaD,rfaD ADP-L-glycero-D-mannoheptose-6-epimerase ,4.6,4.4
B3620,rfaF,rfaF ADP-heptose--lps heptosyltransferase II; lipopolysaccharide core biosynthesis ,,4.5
B3621,rfaC,rfaC heptosyl transferase I; lipopolysaccharide core biosynthesis ,9.8,7.4
B3622,rfaL,rfaL O-antigen ligase; lipopolysaccharide core biosynthesis ,,
B3623,rfaK,rfaK probably hexose transferase; lipopolysaccharide core biosynthesis ,,
B3624,rfaZ,rfaZ lipopolysaccharide core biosynthesis ,4.9,8.3
B3625,rfaY,rfaY lipopolysaccharide core biosynthesis ,,
B3626,rfaJ,rfaJ UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase ,,
B3627,rfaI,"rfaI UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase ",,
B3628,rfaB,"rfaB UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6- D-galactosyltransferase ",,
B3629,rfaS,rfaS lipopolysaccharide core biosynthesis ,5,3.7
B3630,rfaP,rfaP lipopolysaccharide core biosynthesis; phosphorylation of core heptose; attaches phosphate-containing substrate to LPS co ,,2.4
B3631,rfaG,rfaG glucosyltransferase I; lipopolysaccharide core biosynthesis ,,3.8
B3632,rfaQ,rfaQ lipopolysaccharide core biosynthesis ,,2.6
B3633,kdtA,kdtA 3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase) ,,4.9
B3634,kdtB,kdtB putative enzyme of lipopolysaccharide synthesis ,,3.6
B3635,mutM,mutM formamidopyrimidine DNA glycosylase ,,5.6
B3636,rpmG,rpmG 50S ribosomal subunit protein L33 ,4.2,3.5
B3637,rpmB,rpmB 50S ribosomal subunit protein L28 ,4.1,3.4
B3638,radC,radC DNA repair protein ,,4.1
B3639,dfp,dfp flavoprotein affecting synthesis of DNA and pantothenate metabolism ,2.8,2.4
B3640,dut,dut deoxyuridinetriphosphatase ,4.3,4
B3641,ttk,ttk putative transcriptional regulator ,3.2,3.8
B3642,pyrE,pyrE orotate phosphoribosyltransferase ,,5.3
B3643,rph,rph RNase PH ,6.3,9.4
B3644,yicC,yicC putative alpha helix protein ,2.7,5.9
B3645,dinD,dinD DNA-damage-inducible protein ,4.6,6.1
B3646,yicG,"yicG orf, hypothetical protein ",6.4,5.4
B3648,gmk,gmk guanylate kinase ,,2.9
B3649,rpoZ,"rpoZ RNA polymerase, omega subunit ",4.1,3.3
B3650,spoT,"spoT (p)ppGpp synthetase II; also guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase ",1.9,3.4
B3651,spoU,spoU putative RNA methylase ,1.9,2.2
B3652,recG,"recG DNA helicase, resolution of Holliday junctions, branch migration ",1.5,2.8
B3653,gltS,gltS glutamate transport ,,7.2
B3655,yicH,"yicH orf, hypothetical protein ",3.3,2.7
B3657,yicJ,yicJ putative permease ,,10.2
B3660,yicL,yicL putative permease transporter ,4.7,5.4
B3661,nlpA,nlpA lipoprotein-28 ,,5.6
B3663,yicN,"yicN orf, hypothetical protein ",,4.9
B3665,yicP,yicP probable adenine deaminase (synthesis xanthine) ,,8
B3666,uhpT,uhpT hexose phosphate transport protein ,3,8.2
B3667,uhpC,uhpC regulator of uhpT ,,8.7
B3668,uhpB,uhpB sensor histidine protein kinase phosphorylates UhpA ,4.9,5.5
B3669,uhpA,"uhpA response regulator, positive activator of uhpT transcription (sensor, uhpB) ",,4.6
B3670,ilvN,"ilvN acetolactate synthase I, valine sensitive, small subunit ",,5
B3671,ilvB,"ilvB acetolactate synthase I,valine-sensitive, large subunit ",,7.8
B3672,ivbL,ivbL ilvB operon leader peptide ,5,4.4
B3673,emrD,emrD 2-module integral membrane pump; multidrug resistance ,,7.5
B3674,yidF,yidF putative transcriptional regulator ,5.9,6.4
B3676,yidH,"yidH orf, hypothetical protein ",,4.6
B3677,yidI,"yidI orf, hypothetical protein ",,6.9
B3679,yidK,yidK putative cotransporter ,,7.7
B3680,yidL,yidL putative ARAC-type regulatory protein ,4,6.7
B3681,glvG,glvG probable 6-phospho-beta-glucosidase ,,
B3682,glvB,"glvB PTS system, arbutin-like IIB component ",4.4,7.4
B3683,glvC,"glvC PTS system, arbutin-like IIC component ",,
B3684,yidP,yidP putative transcriptional regulator ,,5.1
B3685,yidE,yidE putative transport protein ,3.4,4.6
B3686,ibpB,ibpB heat shock protein ,3.4,8
B3687,ibpA,ibpA heat shock protein ,5.6,
B3688,yidQ,"yidQ orf, hypothetical protein ",17.2,2.7
B3689,yidR,"yidR orf, hypothetical protein ",,3
B3690,yidS,"yidS orf, hypothetical protein ",10.6,6.2
B3691,dgoT,dgoT D-galactonate transport ,,6.2
B3692,dgoA,dgoA 2-oxo-3-deoxygalactonate 6-phosphate aldolase and galactonate dehydratase ,,8.8
B3693,dgoK,dgoK 2-oxo-3-deoxygalactonate kinase ,,5.6
B3694,B3694,B3694 putative FADA-type transcriptional regulator ,,
B3695,yidW,yidW regulator protein for dgo operon ,3.7,6.3
B3698,yidB,"yidB orf, hypothetical protein ",5.1,4.7
B3699,gyrB,"gyrB DNA gyrase subunit B, type II topoisomerase, ATPase activity ",2.4,2.5
B3700,recF,"recF ssDNA and dsDNA binding, ATP binding ",2.3,4.2
B3701,dnaN,"dnaN DNA polymerase III, beta-subunit ",2.3,2.4
B3702,dnaA,dnaA DNA biosynthesis; initiation of chromosome replication; can be transcription regulator ,3.1,1.9
B3703,rpmH,rpmH 50S ribosomal subunit protein L34 ,3.2,4.5
B3704,rnpA,"rnpA RNase P, protein component; protein C5; processes tRNA, 4.5S RNA ",2.5,3.3
B3706,thdF,thdF GTP-binding protein in thiophene and furan oxidation ,2.6,4.1
B3707,tnaL,tnaL tryptophanase leader peptide ,7.5,5.4
B3708,tnaA,tnaA tryptophanase ,,5.1
B3709,tnaB,tnaB low affinity tryptophan permease ,3.3,9.5
B3711,yidZ,yidZ putative transcriptional regulator LYSR-type ,,10.6
B3712,yieE,"yieE orf, hypothetical protein ",,5.3
B3713,yieF,"yieF orf, hypothetical protein ",6.6,7.6
B3714,yieG,yieG putative membrane / transport protein ,2.9,3.9
B3715,yieH,yieH putative phosphatase ,3.4,5.2
B3716,yieI,"yieI orf, hypothetical protein ",,5.2
B3717,yieJ,"yieJ orf, hypothetical protein ",7,5.7
B3718,yieK,yieK putative isomerase ,,7.3
B3719,yieL,yieL putative xylanase ,,6.4
B3720,yieC,yieC putative receptor protein ,,5.6
B3721,BglB,BglB phospho-beta-glucosidase B; cryptic ,,6.6
B3722,BglF,"BglF PTS system beta-glucosides, enzyme II, cryptic ",,6.5
B3723,BglG,BglG positive regulation of bgl operon ,,6.2
B3724,phoU,phoU negative regulator for pho regulon and putative enzyme in phosphate metabolism ,3.3,8.3
B3725,pstB,pstB ATP-binding component of high-affinity phosphate-specific transport system ,2.4,3.9
B3726,pstA,pstA high-affinity phosphate-specific transport system ,,4.7
B3727,pstC,"pstC high-affinity phosphate-specific transport system, cytoplasmic membrane component ",3.5,6.9
B3728,pstS,pstS high-affinity phosphate-specific transport system; periplasmic phosphate-binding protein ,3.8,4.5
B3729,glmS,glmS L-glutamine:D-fructose-6-phosphate aminotransferase ,2.1,2.8
B3730,glmU,glmU N-acetyl glucosamine-1-phosphate uridyltransferase ,,6.6
B3731,atpC,"atpC membrane-bound ATP synthase, F1 sector, epsilon-subunit ",,
B3732,atpD,"atpD membrane-bound ATP synthase, F1 sector, beta-subunit ",12.5,
B3733,atpG,"atpG membrane-bound ATP synthase, F1 sector, gamma-subunit ",5.3,12.7
B3734,atpA,"atpA membrane-bound ATP synthase, F1 sector, alpha-subunit ",4.4,5.8
B3735,atpH,"atpH membrane-bound ATP synthase, F1 sector, delta-subunit ",,5.2
B3736,atpF,"atpF membrane-bound ATP synthase, F0 sector, subunit b ",,4.6
B3737,atpE,"atpE membrane-bound ATP synthase, F0 sector, subunit c ",,5.1
B3738,atpB,"atpB membrane-bound ATP synthase, F0 sector, subunit a ",3.5,4.3
B3739,atpI,"atpI membrane-bound ATP synthase, dispensable protein, affects expression of atpB ",,5.9
B3740,gidB,gidB glucose-inhibited division; chromosome replication? ,,4.5
B3741,gidA,gidA glucose-inhibited division; chromosome replication? ,2.4,2.5
B3742,mioC,mioC initiation of chromosome replication ,6.8,3.2
B3743,asnC,"asnC regulator for asnA, asnC and gidA ",,6.2
B3744,asnA,asnA asparagine synthetase A ,,6
B3745,yieM,"yieM orf, hypothetical protein ",3.3,3.2
B3746,yieN,yieN putative 2-component regulator ,5.9,3.9
B3747,kup,kup low affinity potassium transport system ,2.9,6
B3749,rbsA,rbsA ATP-binding component of D-ribose high-affinity transport system ,,7.9
B3750,rbsC,rbsC D-ribose high-affinity transport system ,,
B3751,rbsB,rbsB D-ribose periplasmic binding protein ,,7.7
B3752,rbsK,rbsK ribokinase ,3.7,6.8
B3753,rbsR,rbsR regulator for rbs operon ,,4.5
