"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B3473"	"yhhS"	"yhhS putative transport "		-0.458
"B3474"	"yhhT"	"yhhT orf, hypothetical protein "		-1.119
"B3476"	"nikA"	"nikA periplasmic binding protein for nickel "		
"B3482"	"rhsB"	"rhsB rhsB protein in rhs element "		-2.038
"B3483"	"yhhH"	"yhhH orf, hypothetical protein "	-0.808	-1.106
"B3484"	"yhhI"	"yhhI putative receptor "		-2.67
"B3485"	"yhhJ"	"yhhJ putative transporter "		
"B3486"	"yhiH"	"yhiH putative ATP-binding component of a transport system, fragment 1 "		-1.886
"B3487"	"yhiI"	"yhiI putative membrane protein "	-1.024	-0.44
"B3488"	"yhiJ"	"yhiJ orf, hypothetical protein "		
"B3491"	"yhiM"	"yhiM orf, hypothetical protein "		-0.127
"B3492"	"yhiN"	"yhiN orf, hypothetical protein "	-2.187	-1.228
"B3493"	"pitA"	"pitA low-affinity phosphate transport "	-0.805	-0.067
"B3494"	"yhiO"	"yhiO orf, hypothetical protein "	0.785	1.841
"B3495"	"uspA"	"uspA universal stress protein; broad regulatory function? "	3.253	4.506
"B3496"	"yhiP"	"yhiP putative transport protein "	-1.026	-1.335
"B3497"	"yhiQ"	"yhiQ orf, hypothetical protein "		-1.003
"B3498"	"prlC"	"prlC oligopeptidase A "	-0.491	0.364
"B3499"	"yhiR"	"yhiR orf, hypothetical protein "	-0.472	0.801
"B3500"	"gor"	"gor glutathione oxidoreductase "	-1.584	-0.859
"B3502"	"arsB"	"arsB arsenical pump membrane protein "		-1.328
"B3505"	"trs5_11"	"trs5_11 IS5 transposase "	-0.646	-0.588
"B3506"	"slp"	"slp outer membrane protein induced after carbon starvation "		2.806
"B3507"	"yhiF"	"yhiF orf, hypothetical protein "		0.825
"B3508"	"yhiD"	"yhiD putative transport ATPase "		0.917
"B3509"	"hdeB"	"hdeB orf, hypothetical protein "	-1.013	5.043
"B3510"	"hdeA"	"hdeA orf, hypothetical protein "	-0.003	4.392
"B3511"	"hdeD"	"hdeD orf, hypothetical protein "		2.345
"B3512"	"yhiE"	"yhiE orf, hypothetical protein "		1.934
"B3513"	"yhiU"	"yhiU putative membrane protein "		0.668
"B3514"	"yhiV"	"yhiV putative transport system permease protein "		-0.5
"B3515"	"yhiW"	"yhiW putative ARAC-type regulatory protein "		2.585
"B3516"	"yhiX"	"yhiX putative ARAC-type regulatory protein "	0.275	2.398
"B3517"	"gadA"	"gadA glutamate decarboxylase isozyme "		2.58
"B3519"	"treF"	"treF cytoplasmic trehalase "		0.046
"B3520"	"yhjB"	"yhjB putative regulator "		-1.092
"B3521"	"yhjC"	"yhjC putative transcriptional regulator LYSR-type "		-1.642
"B3522"	"yhjD"	"yhjD orf, hypothetical protein "	-1.878	-1.037
"B3523"	"yhjE"	"yhjE putative transport protein "		0.595
"B3524"	"yhjG"	"yhjG orf, hypothetical protein "	-2.322	-0.978
"B3525"	"yhjH"	"yhjH orf, hypothetical protein "		-1.872
"B3526"	"kdgK"	"kdgK ketodeoxygluconokinase "	-1.998	-1.522
"B3527"	"yhjJ"	"yhjJ orf, hypothetical protein "	-1.431	0.391
"B3528"	"dctA"	"dctA uptake of C4-dicarboxylic acids "	1.898	-1.644
"B3529"	"yhjK"	"yhjK orf, hypothetical protein "	-2.197	-1.79
"B3531"	"yhjM"	"yhjM putative endoglucanase "		-1.287
"B3532"	"yhjN"	"yhjN orf, hypothetical protein "		-1.574
"B3533"	"yhjO"	"yhjO putative cellulose synthase "		
"B3534"	"yhjQ"	"yhjQ orf, hypothetical protein "		0.271
"B3535"	"yhjR"	"yhjR orf, hypothetical protein "		0.129
"B3536"	"yhjS"	"yhjS putative protease "	0.347	0.576
"B3537"	"yhjT"	"yhjT orf, hypothetical protein "		0.468
"B3538"	"yhjU"	"yhjU orf, hypothetical protein "	-2.357	-0.974
"B3539"	"yhjV"	"yhjV putative transporter protein "		
"B3540"	"dppF"	"dppF putative ATP-binding component of dipeptide transport system "		
"B3542"	"dppC"	"dppC dipeptide transport system permease protein 2 "		-0.68
"B3543"	"dppB"	"dppB dipeptide transport system permease protein 1 "	-2.371	-0.777
"B3544"	"dppA"	"dppA dipeptide transport protein "	1.772	1.521
"B3546"	"yhjW"	"yhjW orf, hypothetical protein "	-2.016	
"B3547"	"yhjX"	"yhjX putative resistance protein "		
"B3548"	"yhjY"	"yhjY putative lipase "	-1.861	-1.068
"B3549"	"tag"	"tag 3-methyl-adenine DNA glycosylase I, constitutive "	-1.897	-0.783
"B3551"	"BisC"	"BisC Biotin sulfoxide reductase "	-2.682	-0.779
"B3552"	"yiaD"	"yiaD putative outer membrane protein "		-0.54
"B3554"	"yiaF"	"yiaF orf, hypothetical protein "	0.068	0.193
"B3555"	"yiaG"	"yiaG orf, hypothetical protein "	-0.74	2.011
"B3556"	"cspA"	"cspA cold shock protein 7.4, transcriptional activator of hns "	0.957	1.149
"B3559"	"glyS"	"glyS glycine tRNA synthetase, beta subunit "	-1.628	0.021
"B3560"	"glyQ"	"glyQ glycine tRNA synthetase, alpha subunit "	-0.989	0.719
"B3563"	"yiaB"	"yiaB orf, hypothetical protein "		
"B3564"	"xylB"	"xylB xylulokinase "	-1.41	0.028
"B3565"	"xylA"	"xylA D-xylose isomerase "		-2.269
"B3567"	"xylG"	"xylG putative ATP-binding protein of xylose transport system "		
"B3568"	"xylH"	"xylH putative xylose transport, membrane component "		-1.702
"B3569"	"xylR"	"xylR putative regulator of xyl operon "		
"B3570"	"Bax"	"Bax putative ATP-binding protein "	-0.634	0.526
"B3571"	"malS"	"malS alpha-amylase "	-3.371	-1.26
"B3573"	"yiaI"	"yiaI orf, hypothetical protein "		-1.742
"B3574"	"yiaJ"	"yiaJ putative regulator "		
"B3580"	"lyxK"	"lyxK L-xylulose kinase, cryptic "		
"B3581"	"sgbH"	"sgbH probable 3-hexulose 6-phosphate synthase "		
"B3582"	"sgbU"	"sgbU probable 3-hexulose-6-phosphate isomerase "		-1.181
"B3583"	"sgbE"	"sgbE putative epimerase/aldolase "		
"B3584"	"yiaT"	"yiaT putative outer membrane protein "		-1.611
"B3585"	"yiaU"	"yiaU putative transcriptional regulator LYSR-type "		-0.667
"B3586"	"yiaV"	"yiaV putative membrane protein "		-1.761
"B3588"	"aldB"	"aldB aldehyde dehydrogenase B (lactaldehyde dehydrogenase) "	-2.43	-1.108
"B3590"	"selB"	"selB selenocysteinyl-tRNA-specific translation factor "	-2.478	-1.121
"B3591"	"selA"	"selA selenocysteine synthase: L-seryl-tRNA (Ser) selenium transferase "		
"B3592"	"yibF"	"yibF putative S-transferase "		-0.532
"B3593"	"rhsA"	"rhsA rhsA protein in rhs element "		-1.995
"B3594"	"yibA"	"yibA orf, hypothetical protein "		
"B3595"	"yibJ"	"yibJ orf, hypothetical protein "	-0.348	0.257
"B3597"	"yibH"	"yibH putative membrane protein "		
"B3598"	"yibI"	"yibI orf, hypothetical protein "		-0.881
"B3599"	"mtlA"	"mtlA PTS system, mannitol-specific enzyme IIABC components "	-1.123	-1.034
"B3600"	"mtlD"	"mtlD mannitol-1-phosphate dehydrogenase "	-0.847	
"B3601"	"mtlR"	"mtlR repressor for mtl "	-0.143	-0.569
"B3602"	"yibL"	"yibL orf, hypothetical protein "	-0.807	-0.277
"B3603"	"lldP"	"lldP L-lactate permease "	1.679	-1.667
"B3604"	"lldR"	"lldR transcriptional regulator "	1.623	-0.983
"B3605"	"lldD"	"lldD L-lactate dehydrogenase "	1.203	-1.212
"B3606"	"yibK"	"yibK orf, hypothetical protein "	-0.743	-1.364
"B3607"	"cysE"	"cysE serine acetyltransferase "	-0.993	-0.083
"B3608"	"gpsA"	"gpsA glycerol-3-phosphate dehydrogenase (NAD+) "	-0.19	-0.099
"B3609"	"secB"	"secB protein export; molecular chaperone; may bind to signel sequence "	2.161	1.523
"B3610"	"grxC"	"grxC glutaredoxin 3 "	1.158	1.178
"B3611"	"yibN"	"yibN orf, hypothetical protein "	0.469	0.656
"B3612"	"yibO"	"yibO putative 2,3-bisphosphoglycerate-independent phosphoglycerate mutase "	-0.734	0.887
"B3613"	"yibP"	"yibP putative membrane protein "	-0.401	0.32
"B3614"	"yibQ"	"yibQ orf, hypothetical protein "	-1.564	
"B3616"	"tdh"	"tdh threonine dehydrogenase "	0.616	-0.702
"B3617"	"kbl"	"kbl 2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) "	0.792	-0.886
"B3618"	"htrL"	"htrL involved in lipopolysaccharide biosynthesis "	-1.581	-0.231
"B3619"	"rfaD"	"rfaD ADP-L-glycero-D-mannoheptose-6-epimerase "	0.783	0.773
"B3620"	"rfaF"	"rfaF ADP-heptose--lps heptosyltransferase II; lipopolysaccharide core biosynthesis "	-0.559	-0.098
"B3621"	"rfaC"	"rfaC heptosyl transferase I; lipopolysaccharide core biosynthesis "	-0.754	-0.494
"B3622"	"rfaL"	"rfaL O-antigen ligase; lipopolysaccharide core biosynthesis "	0.3	0.165
"B3623"	"rfaK"	"rfaK probably hexose transferase; lipopolysaccharide core biosynthesis "		-0.474
"B3624"	"rfaZ"	"rfaZ lipopolysaccharide core biosynthesis "		-1.242
"B3625"	"rfaY"	"rfaY lipopolysaccharide core biosynthesis "		-0.467
"B3626"	"rfaJ"	"rfaJ UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase "		-1.18
"B3627"	"rfaI"	"rfaI UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase "		-0.366
"B3630"	"rfaP"	"rfaP lipopolysaccharide core biosynthesis; phosphorylation of core heptose; attaches phosphate-containing substrate to LPS co "	-2.671	-0.744
"B3631"	"rfaG"	"rfaG glucosyltransferase I; lipopolysaccharide core biosynthesis "	-2.463	-0.21
"B3632"	"rfaQ"	"rfaQ lipopolysaccharide core biosynthesis "	-2.495	-0.545
"B3633"	"kdtA"	"kdtA 3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase) "	-0.472	-0.278
"B3634"	"kdtB"	"kdtB putative enzyme of lipopolysaccharide synthesis "	-0.384	-0.472
"B3636"	"rpmG"	"rpmG 50S ribosomal subunit protein L33 "	2.385	2.51
"B3637"	"rpmB"	"rpmB 50S ribosomal subunit protein L28 "	3.495	2.764
"B3638"	"radC"	"radC DNA repair protein "	-1.794	
"B3639"	"dfp"	"dfp flavoprotein affecting synthesis of DNA and pantothenate metabolism "	-0.889	-0.157
"B3640"	"dut"	"dut deoxyuridinetriphosphatase "	0.034	0.016
"B3641"	"ttk"	"ttk putative transcriptional regulator "	-1	
"B3642"	"pyrE"	"pyrE orotate phosphoribosyltransferase "	-1.496	-0.83
"B3643"	"rph"	"rph RNase PH "	0.322	-0.149
"B3644"	"yicC"	"yicC putative alpha helix protein "	-0.375	-0.322
"B3645"	"dinD"	"dinD DNA-damage-inducible protein "	-2.227	
"B3646"	"yicG"	"yicG orf, hypothetical protein "		-1.38
"B3648"	"gmk"	"gmk guanylate kinase "	0.495	0.916
"B3649"	"rpoZ"	"rpoZ RNA polymerase, omega subunit "	0.004	0.833
"B3650"	"spoT"	"spoT (p)ppGpp synthetase II; also guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase "	0.286	0.095
"B3651"	"spoU"	"spoU putative RNA methylase "	-0.575	
"B3652"	"recG"	"recG DNA helicase, resolution of Holliday junctions, branch migration "	-1.358	-0.957
"B3653"	"gltS"	"gltS glutamate transport "		-1.665
"B3655"	"yicH"	"yicH orf, hypothetical protein "	-2.29	-1.043
"B3656"	"yicI"	"yicI orf, hypothetical protein "		-2.305
"B3659"	"yicK"	"yicK two-module transport protein "		-0.558
"B3660"	"yicL"	"yicL putative permease transporter "	-1.939	-1.391
"B3661"	"nlpA"	"nlpA lipoprotein-28 "		-1.286
"B3662"	"yicM"	"yicM putative transport protein "	-0.62	-0.815
"B3664"	"yicO"	"yicO orf, hypothetical protein "		-1.456
"B3665"	"yicP"	"yicP probable adenine deaminase (synthesis xanthine) "		-0.512
"B3667"	"uhpC"	"uhpC regulator of uhpT "		-2.089
"B3668"	"uhpB"	"uhpB sensor histidine protein kinase phosphorylates UhpA "		-1.45
"B3669"	"uhpA"	"uhpA response regulator, positive activator of uhpT transcription (sensor, uhpB) "		-1.608
"B3670"	"ilvN"	"ilvN acetolactate synthase I, valine sensitive, small subunit "		-0.422
"B3671"	"ilvB"	"ilvB acetolactate synthase I,valine-sensitive, large subunit "		0.17
"B3673"	"emrD"	"emrD 2-module integral membrane pump; multidrug resistance "		-0.985
"B3674"	"yidF"	"yidF putative transcriptional regulator "		
"B3675"	"yidG"	"yidG orf, hypothetical protein "		-1.313
"B3678"	"yidJ"	"yidJ putative sulfatase "		
"B3679"	"yidK"	"yidK putative cotransporter "		-1.868
"B3680"	"yidL"	"yidL putative ARAC-type regulatory protein "		
"B3683"	"glvC"	"glvC PTS system, arbutin-like IIC component "		-1.011
"B3684"	"yidP"	"yidP putative transcriptional regulator "		
"B3685"	"yidE"	"yidE putative transport protein "	-1.968	-1.477
"B3686"	"ibpB"	"ibpB heat shock protein "		
"B3687"	"ibpA"	"ibpA heat shock protein "	-0.514	-0.139
"B3689"	"yidR"	"yidR orf, hypothetical protein "	-0.952	-0.532
"B3691"	"dgoT"	"dgoT D-galactonate transport "		-0.431
"B3692"	"dgoA"	"dgoA 2-oxo-3-deoxygalactonate 6-phosphate aldolase and galactonate dehydratase "		-0.954
"B3694"	"B3694"	"B3694 putative FADA-type transcriptional regulator "		
"B3695"	"yidW"	"yidW regulator protein for dgo operon "		
"B3697"	"yidA"	"yidA orf, hypothetical protein "	0.013	-0.055
"B3698"	"yidB"	"yidB orf, hypothetical protein "	-1.831	-1.341
"B3699"	"gyrB"	"gyrB DNA gyrase subunit B, type II topoisomerase, ATPase activity "	-0.108	-0.282
"B3700"	"recF"	"recF ssDNA and dsDNA binding, ATP binding "	-1.405	-0.374
"B3701"	"dnaN"	"dnaN DNA polymerase III, beta-subunit "	-1.421	-0.434
"B3702"	"dnaA"	"dnaA DNA biosynthesis; initiation of chromosome replication; can be transcription regulator "	-1.158	0.071
"B3703"	"rpmH"	"rpmH 50S ribosomal subunit protein L34 "	2.295	2.032
"B3704"	"rnpA"	"rnpA RNase P, protein component; protein C5; processes tRNA, 4.5S RNA "	0.571	0.978
"B3705"	"yidC"	"yidC 60 KD inner-membrane protein "	0.151	0.079
"B3706"	"thdF"	"thdF GTP-binding protein in thiophene and furan oxidation "	-0.457	-0.511
"B3710"	"yidY"	"yidY putative transport protein "	-1.206	-0.484
"B3711"	"yidZ"	"yidZ putative transcriptional regulator LYSR-type "		
"B3712"	"yieE"	"yieE orf, hypothetical protein "	0.542	-0.521
"B3713"	"yieF"	"yieF orf, hypothetical protein "	-0.164	-0.755
"B3714"	"yieG"	"yieG putative membrane / transport protein "		-1.359
"B3716"	"yieI"	"yieI orf, hypothetical protein "		
"B3718"	"yieK"	"yieK putative isomerase "		
"B3720"	"yieC"	"yieC putative receptor protein "		
"B3722"	"BglF"	"BglF PTS system beta-glucosides, enzyme II, cryptic "	-2.257	
"B3724"	"phoU"	"phoU negative regulator for pho regulon and putative enzyme in phosphate metabolism "	-1.613	-0.66
"B3725"	"pstB"	"pstB ATP-binding component of high-affinity phosphate-specific transport system "	-1.896	-1.232
"B3726"	"pstA"	"pstA high-affinity phosphate-specific transport system "		
"B3727"	"pstC"	"pstC high-affinity phosphate-specific transport system, cytoplasmic membrane component "		-1.507
"B3728"	"pstS"	"pstS high-affinity phosphate-specific transport system; periplasmic phosphate-binding protein "	-2.084	-0.591
"B3729"	"glmS"	"glmS L-glutamine:D-fructose-6-phosphate aminotransferase "	0.257	0.257
"B3730"	"glmU"	"glmU N-acetyl glucosamine-1-phosphate uridyltransferase "	0.046	-0.311
"B3731"	"atpC"	"atpC membrane-bound ATP synthase, F1 sector, epsilon-subunit "	0.084	-0.05
"B3732"	"atpD"	"atpD membrane-bound ATP synthase, F1 sector, beta-subunit "	1.391	0.341
"B3733"	"atpG"	"atpG membrane-bound ATP synthase, F1 sector, gamma-subunit "	1.657	0.534
"B3734"	"atpA"	"atpA membrane-bound ATP synthase, F1 sector, alpha-subunit "	2.098	0.446
"B3735"	"atpH"	"atpH membrane-bound ATP synthase, F1 sector, delta-subunit "	1.445	0.24
"B3736"	"atpF"	"atpF membrane-bound ATP synthase, F0 sector, subunit b "	2.158	1.073
"B3737"	"atpE"	"atpE membrane-bound ATP synthase, F0 sector, subunit c "	1.687	1.614
"B3738"	"atpB"	"atpB membrane-bound ATP synthase, F0 sector, subunit a "	1.835	0.67
"B3739"	"atpI"	"atpI membrane-bound ATP synthase, dispensable protein, affects expression of atpB "	1.539	0.284
"B3741"	"gidA"	"gidA glucose-inhibited division; chromosome replication? "	-1.884	-0.87
"B3742"	"mioC"	"mioC initiation of chromosome replication "	0.632	1.196
"B3743"	"asnC"	"asnC regulator for asnA, asnC and gidA "		-1.494
"B3744"	"asnA"	"asnA asparagine synthetase A "	-1.543	-0.767
"B3746"	"yieN"	"yieN putative 2-component regulator "	-1.887	-0.787
"B3747"	"kup"	"kup low affinity potassium transport system "		-1.426
"B3748"	"rbsD"	"rbsD D-ribose high-affinity transport system; membrane-associated protein "	1.97	-0.701
"B3749"	"rbsA"	"rbsA ATP-binding component of D-ribose high-affinity transport system "	-0.551	-1.684
"B3750"	"rbsC"	"rbsC D-ribose high-affinity transport system "	-0.41	1.189
"B3751"	"rbsB"	"rbsB D-ribose periplasmic binding protein "	2.34	-0.187
"B3752"	"rbsK"	"rbsK ribokinase "	0.592	0.299
"B3753"	"rbsR"	"rbsR regulator for rbs operon "	-1.006	-0.369
"B3754"	"yieO"	"yieO putative transport protein "	-0.183	0.896
"B3755"	"yieP"	"yieP orf, hypothetical protein "	-0.235	1.249
"B3762"	"yifA"	"yifA orf, hypothetical protein "	-0.141	1.775
"B3763"	"pssR"	"pssR regulator of pssA "	-0.497	0.741
"B3764"	"yifE"	"yifE orf, hypothetical protein "	1.31	1.298
"B3765"	"yifB"	"yifB putative 2-component regulator "	-1.007	-0.033
"B3766"	"ilvL"	"ilvL ilvGEDA operon leader peptide "	-1.4	0.67
"B3767"	"ilvG_1"	"ilvG_1 acetolactate synthase II, large subunit, cryptic, interrupted "	-2.317	0.632
"B3768"		" "	-1.909	-0.291
"B3769"	"ilvM"	"ilvM acetolactate synthase II, valine insensitive, small subunit "		1.048
"B3770"	"ilvE"	"ilvE Branched-chain amino-acid aminotransferase "	2.419	-0.28
"B3771"	"ilvD"	"ilvD dihydroxyacid dehydratase "		-0.465
"B3772"	"ilvA"	"ilvA threonine deaminase (dehydratase) "		-0.498
"B3774"	"ilvC"	"ilvC ketol-acid reductoisomerase "		2.495
"B3775"	"ppiC"	"ppiC peptidyl-prolyl cis-trans isomerase C (rotamase C) "	-0.175	0.653
"B3776"	"B3776"	"B3776 orf, hypothetical protein "		-0.416
"B3777"	"yifN"	"yifN orf, hypothetical protein "		
"B3778"	"rep"	"rep rep helicase, a single-stranded DNA dependent ATPase "	-1.839	-1.092
"B3779"	"gppA"	"gppA guanosine pentaphosphatase; exopolyphosphatase "	-0.421	0.31
"B3780"	"rhlB"	"rhlB putative ATP-dependent RNA helicase "		1.282
"B3781"	"trxA"	"trxA thioredoxin 1 "	2.225	2.472
"B3782"	"rhoL"	"rhoL rho operon leader peptide "	1.428	1.551
"B3783"	"rho"	"rho transcription termination factor Rho; polarity suppressor "	0.796	1.434
"B3784"	"rfe"	"rfe UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase; synthesis of enterobacterial common antigen (ECA) "	-1.097	-0.594
"B3785"	"wzzE"	"wzzE putative transport protein "	-1.144	-0.33
"B3787"	"wecC"	"wecC UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase; synthesis of enterobacterial common antigen (ECA) "	-2.298	-1.529
"B3788"	"rffG"	"rffG dTDP-glucose 4,6-dehydratase "	-1.768	-0.938
"B3789"	"rffH"	"rffH glucose-1-phosphate thymidylyltransferase "		-1.201
"B3790"	"wecD"	"wecD orf, hypothetical protein "		
"B3791"	"wecE"	"wecE putative regulator "	-1.958	-0.714
"B3792"	"wzxE"	"wzxE putative cytochrome "	-2.175	-1.052
"B3793"	"wecF"	"wecF TDP-Fuc4NAc:lipidII transferase; synthesis of enterobacterial common antigen (ECA) "	-2.274	-1.746
"B3794"	"wecG"	"wecG probable UDP-N-acetyl-D-mannosaminuronic acid transferase; synthesis of enterobacterial common antigen (ECA) "	-2.1	-1.205
"B3795"	"yifK"	"yifK putative amino acid/amine transport protein "	-1.757	-0.687
"B3801"	"aslA"	"aslA arylsulfatase "		-1.647
"B3802"	"hemY"	"hemY a late step of protoheme IX synthesis "	-1.534	-0.976
"B3803"	"hemX"	"hemX uroporphyrinogen III methylase "	0.476	0.368
"B3804"	"hemD"	"hemD uroporphyrinogen III synthase "	-0.681	0.414
"B3805"	"hemC"	"hemC porphobilinogen deaminase = hydroxymethylbilane synthase "	-1.161	-0.586
"B3806"	"cyaA"	"cyaA adenylate cyclase "	-0.342	0.599
"B3807"	"cyaY"	"cyaY orf, hypothetical protein "		-0.4
"B3808"	"B3808"	"B3808 orf, hypothetical protein "		
"B3809"	"dapF"	"dapF diaminopimelate epimerase "		-0.456
"B3810"	"yigA"	"yigA orf, hypothetical protein "	-0.228	0.126
"B3811"	"xerC"	"xerC site-specific recombinase, acts on cer sequence of ColE1, effects chromosome segregation at cell division "	-0.812	-0.449
"B3812"	"yigB"	"yigB putative phosphatase "	-1.152	-1.029
"B3813"	"uvrD"	"uvrD DNA-dependent ATPase I and helicase II "	-2.441	-1.284
"B3815"	"yigE"	"yigE orf, hypothetical protein "		-1.475
"B3816"	"corA"	"corA Mg2+ transport, system I "	-0.5	-0.162
"B3819"	"rarD"	"rarD orf, hypothetical protein "		
"B3820"	"yigI"	"yigI orf, hypothetical protein "	-0.472	-0.104
"B3821"	"pldA"	"pldA outer membrane phospholipase A "	-0.797	-0.652
"B3822"	"recQ"	"recQ ATP-dependent DNA helicase "	-1.222	-1.033
"B3823"	"yigJ"	"yigJ orf, hypothetical protein "		-0.495
"B3824"	"yigK"	"yigK orf, hypothetical protein "		-0.528
"B3825"	"pldB"	"pldB lysophospholipase L(2) "	-0.998	-0.42
"B3826"	"yigL"	"yigL orf, hypothetical protein "	-0.371	-0.249
"B3827"	"yigM"	"yigM orf, hypothetical protein "		-0.326
"B3828"	"metR"	"metR regulator for metE and metH "		0.185
"B3829"	"metE"	"metE tetrahydropteroyltriglutamate methyltransferase "		4.909
"B3830"	"ysgA"	"ysgA putative enzyme "	-1.844	2.136
"B3831"	"udp"	"udp uridine phosphorylase "	0.418	0.788
"B3832"	"yigN"	"yigN putative alpha helix chain "	-1.763	-0.808
"B3833"	"ubiE"	"ubiE 2-octaprenyl-6-methoxy-1,4-benzoquinone --> 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone "	0.37	0.577
"B3834"	"yigP"	"yigP orf, hypothetical protein "	-1.392	0.168
"B3835"	"yigR"	"yigR orf, hypothetical protein "	-0.719	-0.669
"B3836"	"B3836"	"B3836 orf, hypothetical protein "	1.352	1.383
"B3837"	"B3837"	"B3837 putative histone "	0.726	1.046
"B3838"	"B3838"	"B3838 orf, hypothetical protein "	1.378	1.129
"B3839"	"yigU"	"yigU orf, hypothetical protein "		-1.161
"B3840"	"yigW_1"	"yigW_1 orf, hypothetical protein "	-1.504	-0.845
"B3841"	"yigW_2"	"yigW_2 orf, hypothetical protein "	-0.921	
"B3843"	"yigC"	"yigC putative oxidoreductase "	-0.057	-0.597
"B3844"	"ubiB"	"ubiB ferrisiderophore reductase; flavin reductase (NADPH:flavin oxidoreductase) "	0.483	-0.02
"B3845"	"fadA"	"fadA thiolase I; 3-ketoacyl-CoA thiolase; acetyl-CoA transferase "	-0.8	-0.269
"B3846"	"fadB"	"fadB 4-enzyme protein: 3-hydroxyacyl-CoA dehydrogenase; 3-hydroxybutyryl-CoA epimerase; delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase; enoyl-CoA hydratase "	0.283	-0.843
"B3847"	"pepQ"	"pepQ proline dipeptidase "	0.908	0.415
"B3848"	"yigZ"	"yigZ orf, hypothetical protein "	-1.112	0.055
"B3849"	"trkH"	"trkH potassium uptake, requires TrkE "	-1.674	0.162
"B3850"	"hemG"	"hemG protoporphyrin oxidase "	0.276	1.938
"B3856"	"mobB"	"mobB molybdopterin-guanine dinucleotide biosynthesis protein B "	-0.145	2.561
"B3857"	"mobA"	"mobA molybdopterin ---> molybdopterin-guanine dinucleotide, protein Ar "	-1.098	1.896
"B3859"	"yihE"	"yihE orf, hypothetical protein "	-1.456	0.03
"B3860"	"dsbA"	"dsbA protein disulfide isomerase I, essential for cytochrome c synthesis and formate-dependent reduction "	0.644	0.742
"B3861"	"yihF"	"yihF putative GTP-binding protein "		-1.095
"B3862"	"yihG"	"yihG putative endonuclease "		-0.821
"B3863"	"polA"	"polA DNA polymerase I, 3' --> 5' polymerase, 5' --> 3' and 3' --> 5' exonuclease "	-0.578	-0.2
"B3865"	"yihA"	"yihA orf, hypothetical protein "	0.095	0.865
"B3866"	"yihI"	"yihI orf, hypothetical protein "	-0.629	0.354
"B3867"	"hemN"	"hemN O2-independent coproporphyrinogen III oxidase "	-0.007	-0.61
"B3868"	"glnG"	"glnG response regulator for gln (sensor glnL) (nitrogen regulator I, NRI) "	0.948	-0.795
"B3869"	"glnL"	"glnL histidine protein kinase sensor for GlnG regulator (nitrogen regulator II, NRII) "	1.057	-0.753
"B3870"	"glnA"	"glnA glutamine synthetase "	3.593	1.169
"B3871"	"yihK"	"yihK putative GTP-binding factor "	1.015	0.833
"B3874"	"yihN"	"yihN putative resistance protein (transport) "		-0.569
"B3877"	"yihP"	"yihP putative permease "		
"B3878"	"yihQ"	"yihQ putative glycosidase "		-1.235
"B3879"	"yihR"	"yihR putative aldose-1-epimerase (EC 5.1.3.3) "		0.103
"B3882"	"yihU"	"yihU putative dehydrogenase "		0.082
"B3885"	"yihX"	"yihX putative phosphatase "	0.468	0.374
"B3886"	"rbn"	"rbn tRNA processing exoribonuclease BN "	-1.026	0.084
"B3887"	"yihZ"	"yihZ orf, hypothetical protein "	-0.551	0.434
"B3888"	"yiiD"	"yiiD putative acetyltransferase (EC 2.3.1.18) "	-0.476	-0.065
"B3889"	"yiiE"	"yiiE orf, hypothetical protein "	0.717	0.045
"B3890"	"yiiF"	"yiiF orf, hypothetical protein "		
"B3891"	"fdhE"	"fdhE affects formate dehydrogenase-N "	0.18	-0.286
"B3892"	"fdoI"	"fdoI formate dehydrogenase, cytochrome B556 (FDO) subunit "	-0.234	-1.567
"B3893"	"fdoH"	"fdoH formate dehydrogenase-O, iron-sulfur subunit "	-0.24	
"B3894"	"fdoG"	"fdoG formate dehydrogenase-O, major subunit "	1.337	-1.758
"B3895"	"fdhD"	"fdhD affects formate dehydrogenase-N "		-1.519
"B3897"	"frvR"	"frvR putative frv operon regulatory protein "		
"B3898"	"frvX"	"frvX frv operon protein "		
"B3899"	"frvB"	"frvB PTS system, fructose-like enzyme IIBC component "		-1.762
"B3900"	"frvA"	"frvA PTS system, fructose-specific IIA component "		-1.377
"B3902"	"rhaD"	"rhaD rhamnulose-phosphate aldolase "		
"B3903"	"rhaA"	"rhaA L-rhamnose isomerase "		-0.088
"B3904"	"rhaB"	"rhaB rhamnulokinase "		-1.505
"B3905"	"rhaS"	"rhaS positive regulator for rhaBAD operon "		-1.016
