"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"EG12710-MONOMER"	EG12710-MONOMER	"YedJ"	25.904
"G7763-MONOMER"	G7763-MONOMER	"YrhB" // "putative protein with chaperone-like activity"	10.613
"G6451-MONOMER"	G6451-MONOMER	"YbjQ"	11.437
"G7543-MONOMER"	G7543-MONOMER	"YghC" // "GlcG" // "conserved protein GlcG"	13.737 // 13
"EG10472-MONOMER"	EG10472-MONOMER	"HyaE"	14.89
"G6401-MONOMER"	G6401-MONOMER	"YbhJ"	81.504
"EG10471-MONOMER"	EG10471-MONOMER	"HyaD" // "protein involved in processing of HyaA and HyaB proteins"	21.546 // 23.0
"EG11802-MONOMER"	EG11802-MONOMER	"HybD"	17.751
"G7307-MONOMER"	G7307-MONOMER	"HyfJ"	15.577
"EG12277-MONOMER"	EG12277-MONOMER	"YsaA" // "YiaI"	17.459
"EG12378-MONOMER"	EG12378-MONOMER	"YecD"	20.452
"G7134-MONOMER"	G7134-MONOMER	"YegX"	31.604
"EG11241-MONOMER"	EG11241-MONOMER	"YcaC"	23.1
"G7731-MONOMER"	G7731-MONOMER	"YhfV" // "Php"	32.915
"G7557-MONOMER"	G7557-MONOMER	"YghY" // "ORF_f141" // "YghX_2"	12.628
"G6663-MONOMER"	G6663-MONOMER	"YcjY"	33.659
"G7718-MONOMER"	G7718-MONOMER	"YheT"	38.495
"EG11729-MONOMER"	EG11729-MONOMER	"YieL" // "putative xylanase"	42.755
"G7655-MONOMER"	G7655-MONOMER	"YhbX"	60.753
"MONOMER0-2842"	MONOMER0-2842	"SgrT"	5.338
"EG11123-MONOMER"	EG11123-MONOMER	"YciC"	26.419
"EG11695-MONOMER"	EG11695-MONOMER	"YidG"	13.768
"EG12016-MONOMER"	EG12016-MONOMER	"YohC"	21.691
"G6542-MONOMER"	G6542-MONOMER	"YcdZ"	17.074
"G7873-MONOMER"	G7873-MONOMER	"YtfL"	49.763
"G7356-MONOMER"	G7356-MONOMER	"YfjD" // "YpjE"	48.044
"EG10145-MONOMER"	EG10145-MONOMER	"Ref" // "Cet" // "CreD"	49.83
"G7618-MONOMER"	G7618-MONOMER	"YhaI"	13.456
"G6727-MONOMER"	G6727-MONOMER	"YnbA"	22.524
"EG11726-MONOMER"	EG11726-MONOMER	"YieI" // "CbrB"	16.683
"EG11697-MONOMER"	EG11697-MONOMER	"YidI"	15.729
"G7588-MONOMER"	G7588-MONOMER	"YqiJ"	23.087
"G6579-MONOMER"	G6579-MONOMER	"YmfA"	17.416
"G6578-MONOMER"	G6578-MONOMER	"YcfZ"	28.865
"G6102-MONOMER"	G6102-MONOMER	"YafU"	12.136
"G6253-MONOMER"	G6253-MONOMER	"YlaC"	18.267
"G6446-MONOMER"	G6446-MONOMER	"YbjM"	14.203
"G7282-MONOMER"	G7282-MONOMER	"YffU" // "EutH"	42.807
"G7019-MONOMER"	G7019-MONOMER	"YecN"	15.226
"G6758-MONOMER"	G6758-MONOMER	"YdcZ"	15.855
"G7617-MONOMER"	G7617-MONOMER	"YhaH"	14.281
"EG11851-MONOMER"	EG11851-MONOMER	"Rbn" // "YihY"	32.839
"G6997-MONOMER"	G6997-MONOMER	"BorG" // "YoaE"	56.528
"G6408-MONOMER"	G6408-MONOMER	"YbhQ"	15.465
"G7051-MONOMER"	G7051-MONOMER	"YedR"	13.838
"EG11342-MONOMER"	EG11342-MONOMER	"YchE"	23.521
"EG11688-MONOMER"	EG11688-MONOMER	"YicL"	33.112
"G7337-MONOMER"	G7337-MONOMER	"YphA"	15.211
"G7753-MONOMER"	G7753-MONOMER	"YhgN"	21.49
"G7013-MONOMER"	G7013-MONOMER	"YebZ"	32.526
"G7268-MONOMER"	G7268-MONOMER	"YfeZ"	17.168
"G6448-MONOMER"	G6448-MONOMER	"YbjO"	18.518
"G6933-MONOMER"	G6933-MONOMER	"YdjM"	22.35
"EG11919-MONOMER"	EG11919-MONOMER	"YjbB"	59.467
"G6743-MONOMER"	G6743-MONOMER	"InsQ" // "YdcM"	43.364
"EG12405-MONOMER"	EG12405-MONOMER	"YchO" // "YchP"	52.1
"G7383-MONOMER"	G7383-MONOMER	"YpjG" // "PinH"	8.92
"YBBL-MONOMER"	YBBL-MONOMER	"YbbL" // "FetA"	25.382
"G6267-MONOMER"	G6267-MONOMER	"YbbM" // "FetB"	28.165
"G6414-MONOMER"	G6414-MONOMER	"Fiu" // "YbiL"	81.96
"MONOMER0-2655"	MONOMER0-2655	"InsX" // "YkgN"	12.857
"G7255-MONOMER"	G7255-MONOMER	"InsL-3"	40.909
"G6399-MONOMER"	G6399-MONOMER	"YbhH"	37.059
"G6617-MONOMER"	G6617-MONOMER	"YcgM"	23.711
"YCGO-MONOMER"	YCGO-MONOMER	"CvrA" // "YcgO"	62.285
"EG11238-MONOMER"	EG11238-MONOMER	"YbhB"	17.085
"G6930-MONOMER"	G6930-MONOMER	"YniA" // "putative phosphotransferase/kinase"	32.459
"G7622-MONOMER"	G7622-MONOMER	"YhaN" // "YhaM"	45.361
"G7417-MONOMER"	G7417-MONOMER	"YgbJ" // "putative dehydrogenase, with NAD(P)-binding Rossmann-fold domain"	30.751
"EG12286-MONOMER"	EG12286-MONOMER	"YiaR" // "SgbU"	32.455
"G6658-MONOMER"	G6658-MONOMER	"YcjW"	36.134
"G6176-MONOMER"	G6176-MONOMER	"YkgE"	26.004
"G6480-MONOMER"	G6480-MONOMER	"ElfA" // "YcbQ"	18.68
"EG11882-MONOMER"	EG11882-MONOMER	"YiiX"	23.14
"EG10344-MONOMER"	EG10344-MONOMER	"FtsW" // "essential cell division protein FtsW"	45.987
"G6561-MONOMER"	G6561-MONOMER	"YceN" // "MviN" // "MurJ"	55.268
"EG11117-MONOMER"	EG11117-MONOMER	"YceB"	20.5
"EG11985-MONOMER"	EG11985-MONOMER	"WbbK" // "YefI"	43.188
"G7165-MONOMER"	G7165-MONOMER	"Ais"	22.257
"EG11422-MONOMER"	EG11422-MONOMER	"YfaG" // "InaA" // "pH-inducible protein involved in stress response"	25.296
"G6505-MONOMER"	G6505-MONOMER	"YmcA" // "GfcD"	78.687
"EG12139-MONOMER"	EG12139-MONOMER	"QseG" // "YfhG"	27.348
"MONOMER0-4369"	MONOMER0-4369	"RzoQ"	9.463
"EG11089-MONOMER"	EG11089-MONOMER	"YacC"	12.854 // 12
"EG12182-MONOMER"	EG12182-MONOMER	"YajG"	20.95
"EG12874-MONOMER"	EG12874-MONOMER	"YajI"	19.56
"G6785-MONOMER"	G6785-MONOMER	"YddW"	49.574
"G7541-MONOMER"	G7541-MONOMER	"SslE" // "YghJ"	167.245
"EG11719-MONOMER"	EG11719-MONOMER	"YidX"	24.17
"MONOMER0-2693"	MONOMER0-2693	"YifL"	7.177
"MONOMER0-2689"	MONOMER0-2689	"YsaB"	11.336
"MONOMER0-2830"	MONOMER0-2830	"YtcA"	10.257
"G7654-MONOMER"	G7654-MONOMER	"YhbW"	37.129
"EG11103-MONOMER"	EG11103-MONOMER	"YbcA" // "FimZ"	23.664
"G7466-MONOMER"	G7466-MONOMER	"YqeH"	24.287
"EG11187-MONOMER"	EG11187-MONOMER	"YibA"	31.874
"G6332-MONOMER"	G6332-MONOMER	"YbdO"	34.397
"EG12140-MONOMER"	EG12140-MONOMER	"YdhB"	35.25
"G6153-MONOMER"	G6153-MONOMER	"YkgT" // "YagP"	15.411
"EG11649-MONOMER"	EG11649-MONOMER	"YafC" // "predicted DNA-binding transcriptional regulator LYSR-type"	33.776
"G6671-MONOMER"	G6671-MONOMER	"AbgR"	34.058
"G6181-MONOMER"	G6181-MONOMER	"YahB"	34.866
"EG11594-MONOMER"	EG11594-MONOMER	"YbeF"	35.96
"G7257-MONOMER"	G7257-MONOMER	"YfeR"	33.903
"EG11785-MONOMER"	EG11785-MONOMER	"YfiE"	33.243
"G7518-MONOMER"	G7518-MONOMER	"YgfI"	34.674
"EG12289-MONOMER"	EG12289-MONOMER	"YiaU"	37.274
"G6812-MONOMER"	G6812-MONOMER	"YneJ"	32.483
"G6467-MONOMER"	G6467-MONOMER	"YcaN"	34.294
"EG12105-MONOMER"	EG12105-MONOMER	"YeiE"	32.724
"EG11721-MONOMER"	EG11721-MONOMER	"YidZ"	36.882
"G7155-MONOMER"	G7155-MONOMER	"YfaS_1" // "YfaS"	151.113
"EG11260-MONOMER"	EG11260-MONOMER	"YifB" // "putative ATP-dependent protease"	55.146
"ARAJ-MONOMER"	ARAJ-MONOMER	"AraT" // "AraJ" // "AraJ MFS transporter"	41.926
"B0427-MONOMER"	B0427-MONOMER	"YajR"	48.81
"G6519-MONOMER"	G6519-MONOMER	"YcdI" // "RutE"	21.57
"G7048-MONOMER"	G7048-MONOMER	"YedP" // "HAD19"	30.439
"EG12290-MONOMER"	EG12290-MONOMER	"YiaV"	41.771
"G6884-MONOMER"	G6884-MONOMER	"YdhJ"	31.496
"EG12224-MONOMER"	EG12224-MONOMER	"YhiI"	38.828
"G6695-MONOMER"	G6695-MONOMER	"YnaB" // "StfR"	113.78
"G7607-MONOMER"	G7607-MONOMER	"Alx" // "YgjT"	35.909
"G6848-MONOMER"	G6848-MONOMER	"YnfH"	30.524
"NRFC-MONOMER"	NRFC-MONOMER	"YjcJ" // "NrfC"	24.567
"NRFD-MONOMER"	NRFD-MONOMER	"YjcK" // "NrfD"	35.042
"G7025-MONOMER"	G7025-MONOMER	"YecL" // "YecM"	21.205
"G7604-MONOMER"	G7604-MONOMER	"YgjP"	19.483
"EG12303-MONOMER"	EG12303-MONOMER	"YcfH"	29.809
"EG11786-MONOMER"	EG11786-MONOMER	"YfiF"	37.784
"G6895-MONOMER"	G6895-MONOMER	"YdhR"	11.288
"B2077-MONOMER"	B2077-MONOMER	"IceT" // "YegB" // "MdtD"	50.901
"EG11954-MONOMER"	EG11954-MONOMER	"MdtN" // "YjcR" // "SdsR"	36.908
"EG11952-MONOMER"	EG11952-MONOMER	"MdtP" // "YjcP" // "SdsP"	53.453
"YJCQ-MONOMER"	YJCQ-MONOMER	"MdtO" // "YjcQ" // "SdsQ"	76.151
"G7732-MONOMER"	G7732-MONOMER	"YhfW"	44.56
"NANE-MONOMER"	NANE-MONOMER	"YhcJ" // "NanE"	24.074
"G7174-MONOMER"	G7174-MONOMER	"YfbC" // "ElaA"	17.42
"EG11207-MONOMER"	EG11207-MONOMER	"YjaB"	16.447
"G7829-MONOMER"	G7829-MONOMER	"YjdJ"	10.468
"G7514-MONOMER"	G7514-MONOMER	"YqfD" // "YgfF"	25.938
"G6454-MONOMER"	G6454-MONOMER	"YbjT"	53.707
"G6453-MONOMER"	G6453-MONOMER	"YbjS"	38.086
"EG12702-MONOMER"	EG12702-MONOMER	"YcaK"	23.036
"G7196-MONOMER"	G7196-MONOMER	"YfcH"	32.699
"G7462-MONOMER"	G7462-MONOMER	"YgdS" // "Tas"	38.5
"EG11100-MONOMER"	EG11100-MONOMER	"YbaB" // "conserved DNA-binding protein YbaB"	12.015
"YEIJ-MONOMER"	YEIJ-MONOMER	"NupX" // "YeiJ"	43.41
"G7646-MONOMER"	G7646-MONOMER	"YraR"	23.198
"G7191-MONOMER"	G7191-MONOMER	"YfcD"	20.376
"EG12693-MONOMER"	EG12693-MONOMER	"YeaB" // "NudL"	21.436
"EG11982-MONOMER"	EG11982-MONOMER	"YefF" // "WbbH" // "Rfc"	44.744
"YEJF-MONOMER"	YEJF-MONOMER		58.726
"YEJB-MONOMER"	YEJB-MONOMER		40.36
"YEJE-MONOMER"	YEJE-MONOMER		38.092
"YEJA-MONOMER"	YEJA-MONOMER		69.669
"EG12020-MONOMER"	EG12020-MONOMER	"YohH" // "MdtQ" // "YohG"	39.272
"G7814-MONOMER"	G7814-MONOMER	"YshA" // "OmpL"	27.2
"G7052-MONOMER"	G7052-MONOMER	"YedT" // "YedS_1" // "YedS"	17.296
"G6722-MONOMER"	G6722-MONOMER	"YdbA_1" // "YdbA"	87.13
"G7531-MONOMER"	G7531-MONOMER	"YggW"	42.584
"G6887-MONOMER"	G6887-MONOMER	"YdhF"	33.676
"G7499-MONOMER"	G7499-MONOMER	"YgfM"	28.65
"MONOMER0-2668"	MONOMER0-2668	"YmjC"	6.725
"EG12133-MONOMER"	EG12133-MONOMER	"YfeF" // "UcpA"	27.85
"G6901-MONOMER"	G6901-MONOMER	"YdhV"	77.876
"EG11759-MONOMER"	EG11759-MONOMER	"YciK"	27.933
"G6640-MONOMER"	G6640-MONOMER	"YciW"	42.22
"EG11134-MONOMER"	EG11134-MONOMER	"YdjA"	20.059 // 20.0
"EG12409-MONOMER"	EG12409-MONOMER	"AegA" // "YffG"	71.844
"EG11564-MONOMER"	EG11564-MONOMER	"YaaS" // "FixC" // "flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism"	45.703 // 45
"G7432-MONOMER"	G7432-MONOMER	"YgcN"	46.393
"G6922-MONOMER"	G6922-MONOMER	"YdiS"	45.923
"EG12019-MONOMER"	EG12019-MONOMER	"YohE" // "YohF"	26.951
"G6560-MONOMER"	G6560-MONOMER	"YceM" // "MviM" // "putative oxidoreductase, NAD(P)-binding Rossmann-fold domain"	33.681
"G6653-MONOMER"	G6653-MONOMER	"YcjS"	38.652
"G6791-MONOMER"	G6791-MONOMER	"YdeP" // "acid resistance protein"	83.495
"G6816-MONOMER"	G6816-MONOMER	"YdfI"	53.685
"G6868-MONOMER"	G6868-MONOMER	"YdgJ"	38.257
"G7312-MONOMER"	G7312-MONOMER	"YfgD"	13.399
"G7606-MONOMER"	G7606-MONOMER	"YgjR" // "putative NAD(P)-binding dehydrogenase"	36.214
"G7757-MONOMER"	G7757-MONOMER	"YhhX" // "putative oxidoreductase with NAD(P)-binding Rossmann-fold domain"	38.765
"EG12229-MONOMER"	EG12229-MONOMER	"YhiN"	43.741
"G6847-MONOMER"	G6847-MONOMER	"YnfG"	22.752
"G7505-MONOMER"	G7505-MONOMER	"YgfS"	17.513
"G7497-MONOMER"	G7497-MONOMER	"YgfK"	115.581
"EG11136-MONOMER"	EG11136-MONOMER	"YebB"	22.704
"G6331-MONOMER"	G6331-MONOMER	"YbdN"	47.827
"EG12120-MONOMER"	EG12120-MONOMER	"RssA" // "YchK"	33.067
"G7951-MONOMER"	G7951-MONOMER	"YjjU" // "putative esterase"	39.832
"G7178-MONOMER"	G7178-MONOMER	"YfbL"	35.931
"G7328-MONOMER"	G7328-MONOMER	"YfhR"	31.516
"G7491-MONOMER"	G7491-MONOMER	"YgeY"	44.804
"G7118-MONOMER"	G7118-MONOMER	"YegQ"	51.193
"G7652-MONOMER"	G7652-MONOMER	"YhbU" // "putative peptidase (collagenase-like)"	37.047
"G7653-MONOMER"	G7653-MONOMER	"YhbV"	32.535
"EG11496-MONOMER"	EG11496-MONOMER	"PrfH"	18.834
"G366-MONOMER"	G366-MONOMER	"FlaZ" // "FlgJ"	34.475
"G7474-MONOMER"	G7474-MONOMER	"YgeJ" // "Pbl"	14.487
"SAPA-MONOMER"	SAPA-MONOMER		61.565
"G6730-MONOMER"	G6730-MONOMER	"YnbD"	49.563
"PGAM2-MONOMER"	PGAM2-MONOMER	"YtjC" // "GpmB"	24.065
"EG11437-MONOMER"	EG11437-MONOMER	"PlsX" // "fatty acid/phospholipid synthesis protein"	38.214
"EG11209-MONOMER"	EG11209-MONOMER	"PsiE" // "YjbA"	15.597
"G6953-MONOMER"	G6953-MONOMER	"YnjF"	22.752
"MONOMER0-1701"	MONOMER0-1701	"Sfa" // "YccL" // "GnsA"	6.576
"EG11708-MONOMER"	EG11708-MONOMER	"YidM" // "GlvG"	23.724
"EG11722-MONOMER"	EG11722-MONOMER	"YieE"	27.647
"EG12365-MONOMER"	EG12365-MONOMER	"YhfF" // "PrkB"	32.344
"G6473-MONOMER"	G6473-MONOMER	"YcbJ"	34.488
"G7733-MONOMER"	G7733-MONOMER	"YhfX"	42.294
"EG11749-MONOMER"	EG11749-MONOMER	"YadE"	46.315
"EG12161-MONOMER"	EG12161-MONOMER	"EaeH" // "attaching and effacing protein homolog, pathogenesis factor"	33.175
"G7163-MONOMER"	G7163-MONOMER	"YfaZ"	18.61
"G6773-MONOMER"	G6773-MONOMER	"YddL"	10.736
"EG13217-MONOMER"	EG13217-MONOMER	"YbaE"	64.992
"EG11163-MONOMER"	EG11163-MONOMER	"YgiA"	9.916
"MONOMER0-4368"	MONOMER0-4368	"YmiB"	4.122
"EG11646-MONOMER"	EG11646-MONOMER	"PsuK" // "YeiC" // "PscK"	33.573
"YEIM-MONOMER"	YEIM-MONOMER	"PsuT" // "YeiM" // "PscT"	43.432
"GLVB-MONOMER"	GLVB-MONOMER	"YidO" // "YidN"	17.626
"GLVC-MONOMER"	GLVC-MONOMER	"YidO" // "PtiC"	39.692
"FRVA-MONOMER"	FRVA-MONOMER	"FrvA" // "YiiK"	16.093
"SGCA-MONOMER"	SGCA-MONOMER	"YjhL" // "SgcA" // "EIIA<sup>Sgc</sup>" // "Enzyme IIA<sup>Sgc</sup>"	15.638
"AGAX-MONOMER"	AGAX-MONOMER	"AgaX" // "YadI"	16.54
"FRWB-MONOMER"	FRWB-MONOMER	"YijK" // "EIIB<sup>frw</sup>" // "Enzyme IIB<sup>frw</sup>"	11.248
"EG11912-MONOMER"	EG11912-MONOMER	"YijN" // "FrwD" // "EIIB'<sup>frw</sup>" // "Enzyme IIB'<sup>frw</sup>"	12.637
"G7250-MONOMER"	G7250-MONOMER	"YpdH" // "FryB" // "Enzyme IIB<sup>Fry</sup>" // "EIIB<sup>Fry</sup>"	11.735
"MONOMER0-2121"	MONOMER0-2121	"SgcB" // "EIIB<sup>Sgc</sup>" // "Enzyme IIB<sup>Sgc</sup>"	9.803
"FRVB-MONOMER"	FRVB-MONOMER	"FrvB" // "YiiJ"	51.12
"FRWC-MONOMER"	FRWC-MONOMER	"YijJ" // "EIIC<sup>frw</sup>" // "Enzyme IIC<sup>frw</sup>"	37.086
"MONOMER0-6"	MONOMER0-6	"YpdG" // "FryC" // "Enzyme IIC<sup>Fry</sup>" // "EIIC<sup>Fry</sup>"	43.966
"SGCC-MONOMER"	SGCC-MONOMER	"YjhN" // "SgcC" // "EIIC<sup>Sgc</sup>" // "Enzyme IIC<sup>Sgc</sup>"	46.684
"G7246-MONOMER"	G7246-MONOMER	"FryA" // "YpdD" // TTP // "triphosphoryl transfer protein"	92.13
"EG11906-MONOMER"	EG11906-MONOMER	"FrwA" // "YijH" // "PtsA" // "Enzyme I<sup>Ani</sup>" // TTP // "triphosphoryl transfer protein"	91.774
"EG11142-MONOMER"	EG11142-MONOMER	"PufY" // "YfaA"	62.671
"G6282-MONOMER"	G6282-MONOMER	"YbbY"	47.239
"G6174-MONOMER"	G6174-MONOMER	"RclA" // "YkgC" // "putative oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response"	48.244
"B1006-MONOMER"	B1006-MONOMER	"YcdG" // "RutG"	45.557
"G6426-MONOMER"	G6426-MONOMER	"YbiW" // "PflF"	90.125
"EG11911-MONOMER"	EG11911-MONOMER	"YijM" // "PflC"	32.43
"G7953-MONOMER"	G7953-MONOMER	"YjjW"	31.491
"G6427-MONOMER"	G6427-MONOMER	"YbiY" // "PflE"	33.038
"YHJX-MONOMER"	YHJX-MONOMER	"YhjX"	42.951
"G6701-MONOMER"	G6701-MONOMER	"Pfo" // "YdbK"	128.824 // 128.0
"EG12217-MONOMER"	EG12217-MONOMER	"YhhQ"	25.269
"EG12657-MONOMER"	EG12657-MONOMER	"YgiN"	11.532 // 9.5d0
"QOR-MONOMER"	QOR-MONOMER	"Hzc" // "Hcz" // "Qor" // "QorA"	35.172
"EG11472-MONOMER"	EG11472-MONOMER	"RmuC" // "YigN"	54.764
"G7935-MONOMER"	G7935-MONOMER	"YjiQ"	21.769
"G7934-MONOMER"	G7934-MONOMER	"RpnD" // "YjiP"	12.078
"EG11147-MONOMER"	EG11147-MONOMER	"YffB"	13.601
"G6384-MONOMER"	G6384-MONOMER	"YbgN" // "AbrB"	36.884
"EG11766-MONOMER"	EG11766-MONOMER	"YibJ"	26.447
"MONOMER0-2656"	MONOMER0-2656	"YkgO"	5.467
"G6167-MONOMER"	G6167-MONOMER	"YkgM"	9.92
"G6715-MONOMER"	G6715-MONOMER	"YdbT" // "PaaG"	28.405
"EG12879-MONOMER"	EG12879-MONOMER	"YbcJ"	7.39
"G6635-MONOMER"	G6635-MONOMER	"YciO"	23.212
"G7746-MONOMER"	G7746-MONOMER	"YhgF"	85.12
"EG12309-MONOMER"	EG12309-MONOMER	"LasT" // "YjtD"	25.259
"G6100-MONOMER"	G6100-MONOMER	"YafS"	27.244
"EG11651-MONOMER"	EG11651-MONOMER	"YafE"	22.991
"G6845-MONOMER"	G6845-MONOMER	"YnfE"	89.78
"G6846-MONOMER"	G6846-MONOMER	"YnfF"	89.987
"EG11660-MONOMER"	EG11660-MONOMER	"YedE"	44.429
"G6815-MONOMER"	G6815-MONOMER	"YdfZ"	7.276
"EG11059-MONOMER"	EG11059-MONOMER	"Usg"	36.364 // 45.0
"G6856-MONOMER"	G6856-MONOMER	"YdgD"	29.277
"YJHB-MONOMER"	YJHB-MONOMER	"YjhB"	44.104
"EG12434-MONOMER"	EG12434-MONOMER	"HtrG" // "EcfG" // "YgiM"	23.076
"EG12376-MONOMER"	EG12376-MONOMER	"YfeH"	36.406
"EG11662-MONOMER"	EG11662-MONOMER	"YedK" // "YedG"	24.979
"EG11928-MONOMER"	EG11928-MONOMER	"YjbJ"	8.325
"G7270-MONOMER"	G7270-MONOMER	"YffI" // "EutK"	17.893
"G7287-MONOMER"	G7287-MONOMER	"YffZ" // "EutM" // "CchA"	9.866
"G7271-MONOMER"	G7271-MONOMER	"YffJ" // "EutL"	22.788
"G7292-MONOMER"	G7292-MONOMER	"YpfE" // "EutS"	11.65
"EG11215-MONOMER"	EG11215-MONOMER	"YjjB"	17.047 // 14
"G7946-MONOMER"	G7946-MONOMER	"YjjP"	28.001
"G6959-MONOMER"	G6959-MONOMER	"YdjH"	34.121
"G7132-MONOMER"	G7132-MONOMER	"YegV"	34.385
"EG12028-MONOMER"	EG12028-MONOMER	"YeiI"	39.71
"G7442-MONOMER"	G7442-MONOMER	"YgcE"	54.177
"G6788-MONOMER"	G6788-MONOMER	"YdeN"	62.802
"EG11705-MONOMER"	EG11705-MONOMER	"YidJ"	57.295
"YIHO-MONOMER"	YIHO-MONOMER	"SquO" // "YihO"	51.574
"EG11661-MONOMER"	EG11661-MONOMER	"YedF"	8.639
"EG11894-MONOMER"	EG11894-MONOMER	"YeeD"	8.148
"EG12295-MONOMER"	EG12295-MONOMER	"YibN" // "putative rhodanese-related sulfurtransferase"	15.596
"G7634-MONOMER"	G7634-MONOMER	"YraB" // "AgaS"	41.783
"EG11467-MONOMER"	EG11467-MONOMER	"YigI"	17.163
"EG11839-MONOMER"	EG11839-MONOMER	"YihM"	36.942
"G6762-MONOMER"	G6762-MONOMER	"YncD"	77.261
"EG11743-MONOMER"	EG11743-MONOMER	"YddB"	89.283
"MONOMER0-2858"	MONOMER0-2858	"IbsB"	2.064
"MONOMER0-2856"	MONOMER0-2856	"IbsD"	2.151
"G7882-MONOMER"	G7882-MONOMER	"BdcR" // "YjgJ"	21.501
"G7847-MONOMER"	G7847-MONOMER	"YjfJ"	25.334
"EG11861-MONOMER"	EG11861-MONOMER	"YiiH" // "FrvR"	66.0
"EG11149-MONOMER"	EG11149-MONOMER	"GcvR" // "YffD"	20.769
"G6129-MONOMER"	G6129-MONOMER	"PerR"	33.639
"EG10715-MONOMER"	EG10715-MONOMER	"PhnF"	27.621
"EG10656-MONOMER"	EG10656-MONOMER	"SfsB" // "Nlp"	10.495
"EG11137-MONOMER"	EG11137-MONOMER	"YebC"	26.423
"G7068-MONOMER"	G7068-MONOMER	"YeeN"	25.867
"G7472-MONOMER"	G7472-MONOMER	"YgeH"	52.753
"G7488-MONOMER"	G7488-MONOMER	"YgeV"	66.096
"EG11733-MONOMER"	EG11733-MONOMER	"YieP"	26.076
"EG11838-MONOMER"	EG11838-MONOMER	"YihL"	26.939
"G6796-MONOMER"	G6796-MONOMER	"YneL"	6.88
"G7467-MONOMER"	G7467-MONOMER	"YqeI"	30.85
"G7863-MONOMER"	G7863-MONOMER	"YtfA"	12.247
"G7869-MONOMER"	G7869-MONOMER	"YtfH"	14.075
"CAIE-MONOMER"	CAIE-MONOMER	"CaiE"	21.244
"G6402-MONOMER"	G6402-MONOMER	"YbhK" // "putative transferase with NAD(P)-binding Rossmann-fold domain"	32.788
"EG11128-MONOMER"	EG11128-MONOMER	"YciH"	11.396
"G6445-MONOMER"	G6445-MONOMER	"YbjL" // "inner membrane protein YbjL"	60.351
"B1433-MONOMER"	B1433-MONOMER	"YdcO"	40.583
"B2372-MONOMER"	B2372-MONOMER	"YfdV"	33.616
"G7251-MONOMER"	G7251-MONOMER	"YfeO"	43.574
"G7549-MONOMER"	G7549-MONOMER	"YghQ"	38.533
"G7745-MONOMER"	G7745-MONOMER	"YhgE"	64.637
"EG11536-MONOMER"	EG11536-MONOMER	"YibE" // "YidE"	58.939
"B2775-MONOMER"	B2775-MONOMER	"YqcF" // "YqcE"	46.831
"YRBG-MONOMER"	YRBG-MONOMER	"YrbG"	34.741
"G6609-MONOMER"	G6609-MONOMER	"YcgH" // "YcgH_1"	52.903
"YHCL-MONOMER"	YHCL-MONOMER	"YhcL" // "DcuD"	48.831
"YIEO-MONOMER"	YIEO-MONOMER	"YieO" // "HsrA" // "multidrug efflux pump HsrA"	51.462
"EG11466-MONOMER"	EG11466-MONOMER	"YigH" // "RarD"	33.283
"YHFC-MONOMER"	YHFC-MONOMER	"GutS" // "YhfH" // "TsgA" // "YhfC"	43.166 // 45.0
"YAAJ-MONOMER"	YAAJ-MONOMER	"YaaJ"	51.663
"YAAU-MONOMER"	YAAU-MONOMER	"YaaU" // "YabE"	48.667
"YBAL-MONOMER"	YBAL-MONOMER	"YlaA" // "YbaL"	59.424
"B0486-MONOMER"	B0486-MONOMER	"YbaT" // "putative transport protein; archaeal/bacterial transporter family"	45.659
"G6421-MONOMER"	G6421-MONOMER	"YbiR"	41.169
"YCAD-MONOMER"	YCAD-MONOMER	"YcaD"	41.432
"YCAM"	YCAM	"YcaM"	52.496
"G6495-MONOMER"	G6495-MONOMER	"YccS"	81.668
"B1543-MONOMER"	B1543-MONOMER	"YdfJ"	46.267
"YDHC-MONOMER"	YDHC-MONOMER	"YdhC" // "YdhC MFS transporter"	43.367
"G6885-MONOMER"	G6885-MONOMER	"YdhK"	75.267
"B1657-MONOMER"	B1657-MONOMER	"YdhP"	40.064
"G6914-MONOMER"	G6914-MONOMER	"YdiK"	39.841
"B1691-MONOMER"	B1691-MONOMER	"YdiN"	46.08
"YDJE-MONOMER"	YDJE-MONOMER	"YdjE"	50.318
"B1775-MONOMER"	B1775-MONOMER	"YdjK"	49.602
"YEAV-MONOMER"	YEAV-MONOMER	"YeaV"	52.881
"B1828-MONOMER"	B1828-MONOMER	"YebQ"	48.152
"EG11141-MONOMER"	EG11141-MONOMER	"YedA"	32.194
"EG11891-MONOMER"	EG11891-MONOMER	"YeeA"	39.955
"B2098-MONOMER"	B2098-MONOMER	"YegT"	47.359
"B2246-MONOMER"	B2246-MONOMER	"YfaV" // "RhmT"	46.294
"G7186-MONOMER"	G7186-MONOMER	"YfbS"	65.872
"G7190-MONOMER"	G7190-MONOMER	"YfcC"	54.797
"B2322-MONOMER"	B2322-MONOMER	"YfcJ"	40.465
"G7310-MONOMER"	G7310-MONOMER	"YfgO" // "PerM"	39.194
"YGAY-MONOMER"	YGAY-MONOMER	"YgaX" // "YgaY_1"	9.331
"B2740-MONOMER"	B2740-MONOMER	"YgbN"	46.77
