"Object ID"	"Protein-Complexes"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"CPLX0-761"	CPLX0-761		
"ABC-29-CPLX"	ABC-29-CPLX		
"ABC-25-CPLX"	ABC-25-CPLX		
"G7596-MONOMER"	G7596-MONOMER	"PatA" // "YgjG" // "Oat" // "Pat"	49.661
"PYRNUTRANSHYDROGEN-CPLX"	PYRNUTRANSHYDROGEN-CPLX	"PntAB"	217.0
"PDXH-MONOMER"	PDXH-MONOMER	"PdxH" // "pyridoxine/pyridoxamine 5'-phosphate oxidase"	25.545
"PDXY-MONOMER"	PDXY-MONOMER	"YdgS" // "PdxY"	31.322 // 31.0
"PDXK-MONOMER"	PDXK-MONOMER	"PdxL" // "ThiJ" // "YfeI" // "PdxK" // "PLK1"	30.847
"PDXJ-MONOMER"	PDXJ-MONOMER	"PdxJ"	26.384
"EG12030-MONOMER"	EG12030-MONOMER	"YeiK" // "RihB" // "ribonucleoside hydrolase 2 (pyrimidine-specific)"	33.748 // 36.0
"PYRROLINECARBREDUCT-MONOMER"	PYRROLINECARBREDUCT-MONOMER	"ProC"	28.145 // 26.5d0
"PYRUVATEDEH-CPLX"	PYRUVATEDEH-CPLX		
"E1P-MONOMER"	E1P-MONOMER	"AceE" // "subunit of E1p component of pyruvate dehydrogenase complex"	99.668
"PYRUVFORMLY-MONOMER"	PYRUVFORMLY-MONOMER	"Pfl" // "PflB"	85.357
"PKI-MONOMER"	PKI-MONOMER	"PykF"	50.729 // 60.0
"PKII-MONOMER"	PKII-MONOMER	"PykA"	51.357 // 51.0
"PYRUVOXID-MONOMER"	PYRUVOXID-MONOMER	"PoxB"	62.011 // 60.0
"EG10836-MONOMER"	EG10836-MONOMER	"RelB" // "Qin prophage; antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor RelB" // "Qin prophage; antitoxin RelB"	9.071 // 9.0
"QUINOPRIBOTRANS-MONOMER"	QUINOPRIBOTRANS-MONOMER	"NadC"	32.762 // 36.0
"QUINOLINATE-SYNTHA-MONOMER"	QUINOLINATE-SYNTHA-MONOMER	"NicA" // "NadA"	38.241 // 38.2
"G6379-MONOMER"	G6379-MONOMER	"YbgI" // "conserved metal-binding protein"	26.892
"PC00084"	PC00084	"RcsAB"	
"CPLX0-7916"	CPLX0-7916	"RcsBgl"	
"CPLX0-7978"	CPLX0-7978		
"RECFOR-CPLX"	RECFOR-CPLX		
"EG11404-MONOMER"	EG11404-MONOMER	"YchF" // "ribosome-binding ATPase, inhibitor of catalase activity" // "ribosome-binding ATPase YchF"	39.667
"G6606-MONOMER"	G6606-MONOMER	"YmgB" // "AriR"	9.694
"EG10018-MONOMER"	EG10018-MONOMER	"YhdA" // "CsrD"	73.339
"EG11568-MONOMER"	EG11568-MONOMER	"KefF" // "YabF"	20.17
"EG11731-MONOMER"	EG11731-MONOMER	"YieN" // "RavA"	56.389
"CPLX0-7791"	CPLX0-7791	"RelBE"	
"EG10236-MONOMER"	EG10236-MONOMER	"GrpD" // "GrpA" // "GroP" // "DnaB"	52.39
"RUVABC-CPLX"	RUVABC-CPLX	"RuvABC"	
"RHAMNULPALDOL-MONOMER"	RHAMNULPALDOL-MONOMER	"RhaD"	30.145 // 32.0
"EG10844-MONOMER"	EG10844-MONOMER	"MmrA" // "RhlB"	47.126
"RIBOFLAVIN-SYN-MONOMER"	RIBOFLAVIN-SYN-MONOMER	"RibC" // "RibE"	23.445
"RIBOKIN-MONOMER"	RIBOKIN-MONOMER	"RbsK"	32.29 // 33.5d0
"G7175-MONOMER"	G7175-MONOMER	"Rnz" // "EcoZ" // "ZipD" // "ElaC" // "Rbn"	32.93 // 36.0
"EG10859-MONOMER"	EG10859-MONOMER	"SmbB" // "Ams" // "Rne"	118.197
"EG11879-MONOMER"	EG11879-MONOMER	"YiiV" // "MenG" // "RraA"	17.36 // 17.4
"G7885-MONOMER"	G7885-MONOMER	"YjgD" // "RraB"	15.603
"RIBONUCLEOSIDE-DIP-REDUCTI-CPLX"	RIBONUCLEOSIDE-DIP-REDUCTI-CPLX	"ribonucleotide reductase I" // "RDPR-I"	
"NRDA-MONOMER"	NRDA-MONOMER	"DnaF" // "NrdA"	85.775
"NRDB-MONOMER"	NRDB-MONOMER	"FtsB" // "NrdB" // "ribonucleoside diphosphate reductase 1, &beta; subunit, ferritin-like"	43.517
"RIBONUCLEOSIDE-DIP-REDUCTII-CPLX"	RIBONUCLEOSIDE-DIP-REDUCTII-CPLX	"RDPR-II"	
"NRDE-MONOMER"	NRDE-MONOMER	"NrdE"	80.479
"NRDF-MONOMER"	NRDF-MONOMER	"YgaD" // "NrdF"	36.443
"ABC-28-CPLX"	ABC-28-CPLX		
"RIB5PISOMA-MONOMER"	RIB5PISOMA-MONOMER	"YgfC" // "RpiA"	22.86 // 27.0
"EG10852-MONOMER"	EG10852-MONOMER	"Nek" // "RimK"	32.436 // 31.5d0
"EG11430-MONOMER"	EG11430-MONOMER	"RoxA" // "YcfD"	42.579
"G7602-MONOMER"	G7602-MONOMER	"YgjN" // "HigB" // "translation-dependent mRNA interferase, toxin of the HigB-HigA toxin-antitoxin system"	12.103
"RIBULOKIN-MONOMER"	RIBULOKIN-MONOMER	"AraB"	61.089
"CPLX0-221"	CPLX0-221	"sigma fecI"	
"RNAPE-CPLX"	RNAPE-CPLX	"RNA polymerase sigma E" // "RNA polymerase sigma 24 holoenzyme"	
"CPLX0-222"	CPLX0-222	"RNA polymerase sigma 28 holoenzyme" // "RNA polymerase sigma F"	
"RNAP32-CPLX"	RNAP32-CPLX	"RNA polymerase sigma 32 holoenzyme" // "RNA polymerase sigma H"	
"RNAP54-CPLX"	RNAP54-CPLX	"RNA polymerase sigma 54 holoenzyme" // "RNA polymerase sigmaN"	
"RNAP70-CPLX"	RNAP70-CPLX	"RNA polymerase sigma 70 holoenzyme" // "RNA polymerase sigma D"	
"RNAPS-CPLX"	RNAPS-CPLX	"RNA polymerase sigma 38" // "RNA polymerase sigma 38 holoenzyme"	
"APORNAP-CPLX"	APORNAP-CPLX		
"EG10438-MONOMER"	EG10438-MONOMER	"Hfq" // "HF-I" // "host factor I"	11.166
"EG12146-MONOMER"	EG12146-MONOMER	"RapZ" // "YhbJ"	32.492
"EG11299-MONOMER"	EG11299-MONOMER	"AdhR" // "Rng" // "YhdF" // "CafA"	55.364 // 51
"EG10857-MONOMER"	EG10857-MONOMER	"RanA" // "Rnc"	25.55 // 25.0
"EG11547-MONOMER"	EG11547-MONOMER	"Rnt"	23.523 // 25.0
"CPLX0-7909"	CPLX0-7909		
"ADHC-MONOMER"	ADHC-MONOMER	"AdhC" // "FrmA" // "formaldehyde dehydrogenase"	39.359
"SAMDECARB-CPLX"	SAMDECARB-CPLX		
"EG12026-MONOMER"	EG12026-MONOMER	"YeiG"	31.259
"CPLX0-8208"	CPLX0-8208	"S6:S18"	
"SEC-SECRETION-CPLX"	SEC-SECRETION-CPLX	"Sec translocation complex"	250.0
"SECD-SECF-YAJC-YIDC-CPLX"	SECD-SECF-YAJC-YIDC-CPLX		
"SECB"	SECB	"SecB"	17.277 // 16.0
"SECE-G-Y-CPLX"	SECE-G-Y-CPLX		
"CPLX0-1601"	CPLX0-1601	"YnfFGH" // "YnfEFGH"	
"EG10943-MONOMER"	EG10943-MONOMER	"FdhB" // "SelD"	36.687 // 36.0
"EG10941-MONOMER"	EG10941-MONOMER	"FdhA" // "SelA"	50.607 // 51.0
"ARCB-MONOMER"	ARCB-MONOMER	"ArcB"	87.983
"ATOS-MONOMER"	ATOS-MONOMER	"AtoS"	67.79
"CREC-MONOMER"	CREC-MONOMER	"PhoM" // "CreC"	52.176 // 55.0
"ENVZ-MONOMER"	ENVZ-MONOMER	"Tpo" // "OmpB" // "PerA" // "EnvZ"	50.334
"KDPD-MONOMER"	KDPD-MONOMER	"Kac" // "KdpD"	98.718
"NARQ-MONOMER"	NARQ-MONOMER	"nitrate/nitrite sensor kinase" // "NarQ"	63.697
"NARX-MONOMER"	NARX-MONOMER	"NarR" // "FrdR" // "NarX"	67.084 // 67.0
"PROTEIN-NRII"	PROTEIN-NRII	"GlnL" // "GlnR" // "NtrB"	38.556 // 36.0
"PHOQ-MONOMER"	PHOQ-MONOMER		55.3 // 55.0
"PHOR-MONOMER"	PHOR-MONOMER	"NmpB" // "PhoR"	49.629 // 47.0
"TORS-MONOMER"	TORS-MONOMER	"YccI" // "TorS"	101.024
"SERINE-O-ACETTRAN-MONOMER"	SERINE-O-ACETTRAN-MONOMER	"CysE"	29.317 // 33
"EG11652-MONOMER"	EG11652-MONOMER	"HtrH" // "HhoB" // "DegS"	37.581
"GLYOHMETRANS-MONOMER"	GLYOHMETRANS-MONOMER	"GlyA"	45.317 // 46.5
"EG10255-MONOMER"	EG10255-MONOMER	"Eti" // "Eco"	18.192 // 18
"SERS-MONOMER"	SERS-MONOMER	"SerS" // "SerRS"	48.414 // 47
"EG11234-MONOMER"	EG11234-MONOMER	"YdiB"	31.228 // 31.3
"SIROHEMESYN-MONOMER"	SIROHEMESYN-MONOMER	"CysG"	49.951 // 50.0
"EG11160-MONOMER"	EG11160-MONOMER	"MscS" // "YggB"	30.896 // 31.0
"MONOMER0-82"	MONOMER0-82	"YnaI"	38.754
"EG11534-MONOMER"	EG11534-MONOMER	"HtpN" // "HslT" // "IbpA"	15.774
"EG11535-MONOMER"	EG11535-MONOMER	"HslS" // "HtpE" // "IbpB"	16.093 // 16.0
"ABC-34-CPLX"	ABC-34-CPLX		
"UDHA-MONOMER"	UDHA-MONOMER	"SthA" // "Sth" // "UdhA"	51.56 // 51.6
"SORB6PDEHYDROG-MONOMER"	SORB6PDEHYDROG-MONOMER	"GutD" // "SrlD"	27.858 // 26.0
"CPLX-169"	CPLX-169	"EII<sup>Gut</sup>" // "Enzyme II<sup>Gut</sup>" // "glucitol PTS permease"	
"SPERMACTRAN-MONOMER"	SPERMACTRAN-MONOMER	"SpeG"	21.887 // 24.0
"ABC-24-CPLX"	ABC-24-CPLX		
"SPERMIDINESYN-MONOMER"	SPERMIDINESYN-MONOMER	"SpeE"	32.321 // 32.0
"EG11064-MONOMER"	EG11064-MONOMER	"UvrE" // "SrjC" // "Rad" // "Dda" // "RecL" // "PdeB" // "MutU" // "UvrD"	81.99
"EG10976-MONOMER"	EG10976-MONOMER	"LexC" // "ExrB" // "Ssb"	18.975 // 22
"EG11415-MONOMER"	EG11415-MONOMER	"Vtm" // "PexB" // "Dps"	18.695 // 19.0
"E1O-MONOMER"	E1O-MONOMER	"Lys" // "SucA" // "E1(o) subunit"	105.062
"CPLX0-8160"	CPLX0-8160	"complex II" // "succinate-ubiquinone oxidoreductase" // "SQR" // "SdhCDAB" // "succinate dehydrogenase" // "succinate-Q reductase"	
"SUCC-DEHASE"	SUCC-DEHASE	"SQR"	
"SUCCCOASYN"	SUCCCOASYN		
"MONOMER0-1981"	MONOMER0-1981	"MsgB" // "DapE"	41.269 // 40
"SUCCORNTRANSAM-MONOMER"	SUCCORNTRANSAM-MONOMER	"AstC" // "YdjW" // "CstC" // "ArgM"	43.665
"CPLX0-1341"	CPLX0-1341		156.6
"SULFATE-ADENYLYLTRANS-CPLX"	SULFATE-ADENYLYLTRANS-CPLX		
"ABC-70-CPLX"	ABC-70-CPLX		
"ALPHACOMP-MONOMER"	ALPHACOMP-MONOMER	"CysJ" // "SiR-FP" // "&alpha; subunit"	66.27 // 66.0
"EG11845-MONOMER"	EG11845-MONOMER	"SquS" // "YihS"	47.433
"G6905-MONOMER"	G6905-MONOMER	"YnhA" // "SufE"	15.8
"G7455-MONOMER"	G7455-MONOMER	"YgdK" // "CsdE" // "CSD sulfur transfer protein CsdE"	15.94
"CPLX-3942"	CPLX-3942		55
"EG11859-MONOMER"	EG11859-MONOMER	"FdhD"	30.56 // 30.5d0
"SUPEROX-DISMUTFE-MONOMER"	SUPEROX-DISMUTFE-MONOMER	"SodB"	21.266
"SUPEROX-DISMUTMN-MONOMER"	SUPEROX-DISMUTMN-MONOMER	"SodA" // "MnSOD"	23.097 // 24.0
"CPLX0-240"	CPLX0-240		
"CPLX0-241"	CPLX0-241		
"G6278-MONOMER"	G6278-MONOMER	"YbbQ" // "GlxR"	30.801 // 35.0
"ABC-64-CPLX"	ABC-64-CPLX		
"MONOMER0-147"	MONOMER0-147	"YaiG" // "SsiD" // "TauD"	32.41 // 37.4
"EG11884-MONOMER"	EG11884-MONOMER	"TehB"	22.531
"MONOMER0-2001"	MONOMER0-2001	"Ssa" // "DapD"	29.892 // 31
"CPLX0-2201"	CPLX0-2201		
"ABC-32-CPLX"	ABC-32-CPLX		
"CPLX0-3949"	CPLX0-3949		440
"THIOREDOXIN-REDUCT-NADPH-MONOMER"	THIOREDOXIN-REDUCT-NADPH-MONOMER	"TrxB" // "thioredoxin reductase (NADPH)" // "TrxR"	34.623
"EG10395-MONOMER"	EG10395-MONOMER	"GlpE"	12.082 // 13.0
"G7398-MONOMER"	G7398-MONOMER	"YgaP"	18.639
"ABC-7-CPLX"	ABC-7-CPLX		
"THREDEHYDSYN-MONOMER"	THREDEHYDSYN-MONOMER	"Ile" // "IlvA"	56.195
"THREODEHYD-MONOMER"	THREODEHYD-MONOMER	"Tdh"	37.239 // 35.0
"THRS-MONOMER"	THRS-MONOMER	"ThrS" // "ThrRS"	74.014 // 76
"DEOA-MONOMER"	DEOA-MONOMER	"Ttg" // "Tpp" // "DeoA"	47.207
"THYMIDYLATESYN-MONOMER"	THYMIDYLATESYN-MONOMER	"ThyA"	30.48 // 32.0
"TRANSENOYLCOARED-CPLX"	TRANSENOYLCOARED-CPLX		80.0
"TRANSALDOLB-MONOMER"	TRANSALDOLB-MONOMER	"YaaK" // "TalB"	35.219 // 35
"EG12179-MONOMER"	EG12179-MONOMER	"MsmC" // "GicA" // "CspE"	7.463 // 7.4
"EG10845-MONOMER"	EG10845-MONOMER	"RnsC" // "Tsu" // "Sun" // "NusD" // "Psu" // "SbaA" // "PsuA" // "NitA" // "Rho" // "transcription termination factor Rho;  polarity suppressor"	47.004
"EG10116-MONOMER"	EG10116-MONOMER	"BglC" // "BglG"	32.097
"TRANSKETOI-MONOMER"	TRANSKETOI-MONOMER	"TktA" // "Tkt" // "transketolase I"	72.212 // 73
"TRANSKETOII-MONOMER"	TRANSKETOII-MONOMER	"TktB" // "transketolase II"	73.043 // 72.0
"CPLX0-7976"	CPLX0-7976	"TAM" // "TamAB"	
"CPLX-168"	CPLX-168	"EII<sup>Tre</sup>" // "Enzyme II <sup>Tre</sup>"	
"TPI-MONOMER"	TPI-MONOMER	"Tpi" // "TpiA"	26.972 // 27.5
"EG11888-MONOMER"	EG11888-MONOMER	"TrmL" // "YibK"	17.726
"EG11372-MONOMER"	EG11372-MONOMER	"TadA" // "YfhC" // "tRNA-specific adenosine deaminase"	18.718
"G7327-MONOMER"	G7327-MONOMER	"YfhQ" // "TrmJ" // "TrMet(Xm32)"	27.048
"G6675-MONOMER"	G6675-MONOMER	"TtcA" // "YdaO" // "tRNA C32 thiolase"	35.561
"EG11023-MONOMER"	EG11023-MONOMER	"TrmD"	28.422 // 32.0
"EG10454-MONOMER"	EG10454-MONOMER	"LeuK" // "HisT" // "AsuC" // "TruA"	30.4 // 31
"G7456-MONOMER"	G7456-MONOMER	"TcdA" // "CsdL" // "YgdL" // "CSD sulfur transfer protein"	28.562
"G7021-MONOMER"	G7021-MONOMER	"YecP" // "CmoB"	37.007
"EG10996-MONOMER"	EG10996-MONOMER	"Tgt"	42.594 // 46.0
"EG10863-MONOMER"	EG10863-MONOMER	"Rph" // "truncated ribonuclease PH"	24.425
"TRYPSYN"	TRYPSYN		146.5
"TRYPSYN-BPROTEIN"	TRYPSYN-BPROTEIN	"TrpB" // "&beta; subunit"	42.983 // 44.0
"TRPS-MONOMER"	TRPS-MONOMER	"TrpS" // "TrpRS"	37.438 // 37
"TRYPTOPHAN-MONOMER"	TRYPTOPHAN-MONOMER	"TnaA" // "Ind" // "TnaR"	52.773 // 52.0
"TATABCE-CPLX"	TATABCE-CPLX	"Tat system" // "Tat translocase" // "TatABCE" // "TatABC"	
"EG10311-MONOMER"	EG10311-MONOMER	"FimD_1" // "FimD" // "FimD_2"	96.482 // 89.0
"CPLX0-3382"	CPLX0-3382	"GspC-O secreton  complex"	
"TYRB-MONOMER"	TYRB-MONOMER	"TyrB"	43.538
"TYRS-MONOMER"	TYRS-MONOMER	"TyrS"	47.527 // 48
"CPLX0-3241"	CPLX0-3241		
"UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO"	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO	"OmsA" // "Ssc" // "HlpA" // "FirA" // "LpxD"	36.038 // 35.9
"UDPGLUCEPIM-MONOMER"	UDPGLUCEPIM-MONOMER	"GalD" // "GalE"	37.265 // 38.0
"UGD-MONOMER"	UGD-MONOMER	"Udg" // "YefA" // "Ugd" // "PmrE"	43.657
"UDPMANNACADEHYDROG-MONOMER"	UDPMANNACADEHYDROG-MONOMER	"MnaB" // "Rff" // "RffD" // "WecC"	45.839 // 50.0
"UDPGLCNACEPIM-MONOMER"	UDPGLCNACEPIM-MONOMER	"MnaA" // "YifF" // "RffE" // "NfrC" // "WecB"	42.245 // 38.0
"UDPNACETYLGLUCOSAMACYLTRANS-MONOMER"	UDPNACETYLGLUCOSAMACYLTRANS-MONOMER	"LpxA"	28.08 // 30.0
"GLCNACPTRANS-MONOMER"	GLCNACPTRANS-MONOMER	"WecA" // "Rfe"	40.957 // 38.0
"UDP-NACMUR-ALA-LIG-MONOMER"	UDP-NACMUR-ALA-LIG-MONOMER	"MurC"	53.626 // 50.0
"PHOSPHO-UHPA"	PHOSPHO-UHPA	"UhpA"	20.889275
"UMPKI-MONOMER"	UMPKI-MONOMER	"Umk" // "SmbA" // "PyrH"	25.97 // 28.0
"UPPSYN-MONOMER"	UPPSYN-MONOMER	"IspU" // "Rth" // "YaeS" // "UppS"	28.444 // 29
"CPLX0-7720"	CPLX0-7720		
"G6334-MONOMER"	G6334-MONOMER	"YzzU" // "UspG" // "YbdQ" // "UP12" // "universal stress protein UP12"	15.935
"URAA-MONOMER"	URAA-MONOMER	"UraA" // "uracil NCS2 transporter"	45.06 // 42.0
"URACIL-PRIBOSYLTRANS-MONOMER"	URACIL-PRIBOSYLTRANS-MONOMER	"UraP" // "Upp"	22.533 // 23.5
"G6286-MONOMER"	G6286-MONOMER	"YlbC" // "AllD"	37.967
"URPHOS-MONOMER"	URPHOS-MONOMER	"Udp"	27.159 // 27.5
"GLUC1PURIDYLTRANS-MONOMER"	GLUC1PURIDYLTRANS-MONOMER	"GalU" // "YchD"	32.942 // 40.0
"ABC-5-CPLX"	ABC-5-CPLX		
"CPLX0-1924"	CPLX0-1924		
"AQPZ-MONOMER"	AQPZ-MONOMER	"BniP" // "AqpZ"	23.703 // 20.0
"EG10698-MONOMER"	EG10698-MONOMER	"PepQ"	50.176 // 50.0
"GPT-MONOMER"	GPT-MONOMER	"Gxu" // "Gpp" // "GlyD" // "Gpt"	16.971 // 18.6
"XANTHOSINEPHOSPHORY-MONOMER"	XANTHOSINEPHOSPHORY-MONOMER	"PndA" // "XapA"	29.835 // 30.1
"CPLX0-3959"	CPLX0-3959		
"ABC-33-CPLX"	ABC-33-CPLX	"XylFGH"	
"XYLISOM-MONOMER"	XYLISOM-MONOMER	"XylA"	49.742 // 44
"XYLULOKIN-MONOMER"	XYLULOKIN-MONOMER	"XylB"	52.618
"EG12844-MONOMER"	EG12844-MONOMER	"YefM"	9.308
"CPLX0-3781"	CPLX0-3781	"YefMB"	30.0
"CPLX0-7624"	CPLX0-7624		
"CPLX0-8188"	CPLX0-8188		
"EG10596-MONOMER"	EG10596-MONOMER	"MinB" // "MinC"	24.775
"EG11918-MONOMER"	EG11918-MONOMER	"Zra" // "YjaI" // "ZraP"	15.199
"G6540-MONOMER"	G6540-MONOMER	"YcdX"	26.89
"ABC-63-CPLX"	ABC-63-CPLX		
"YIIP-MONOMER"	YIIP-MONOMER	"YiiP" // "FieF"	32.927 // 25.0
"CPLX0-7678"	CPLX0-7678		
