Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
DETHIOBIOTIN-SYN-CPLX	dethiobiotin synthetase	((DETHIOBIOTIN-SYN-MONOMER, 2))	
DGTPTRIPHYDRO-CPLX	deoxyguanosine triphosphate triphosphohydrolase	((DGTPTRIPHYDRO-MONOMER, 4))	
DHHB-METHYLTRANSFER-CPLX	bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	((DHHB-METHYLTRANSFER-MONOMER, 2))	
DHPDIOXYGEN-CPLX	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	((DHPDIOXYGEN-MONOMER, 4))	
DIACYLGLYKIN-CPLX	diacylglycerol kinase	((DIACYLGLYKIN-MONOMER, 3))	
DIAMINOPIMDECARB-CPLX	diaminopimelate decarboxylase	((DIAMINOPIMDECARB-MONOMER, 4))	
DIHYDRODIPICSYN-CPLX	4-hydroxy-tetrahydrodipicolinate synthase	((DIHYDRODIPICSYN-MONOMER, 4))	
DIHYDROOROT-CPLX	dihydroorotase	((DIHYDROOROT-MONOMER, 2))	
DIHYDROPICRED-CPLX	4-hydroxy-tetrahydrodipicolinate reductase	((DIHYDROPICRED-MONOMER, 4))	
DIHYDROPTERIREDUCT-CPLX	NAD(P)H nitroreductase NfsB	((DIHYDROPTERIREDUCT-MONOMER, 2))	
DIHYDROXYACIDDEHYDRAT-CPLX	dihydroxy acid dehydratase	((DIHYDROXYACIDDEHYDRAT-MONOMER, 2))	
DIMESULFREDUCT-CPLX	dimethyl sulfoxide reductase	((DMSA-MONOMER, 1) (DMSB-MONOMER, 1) (DMSC-MONOMER, 1))	
DIOHBUTANONEPSYN-CPLX	3,4-dihydroxy-2-butanone 4-phosphate synthase	((DIOHBUTANONEPSYN-MONOMER, 2))	
DMBPPRIBOSYLTRANS-CPLX	nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase	((DMBPPRIBOSYLTRANS-MONOMER, 2))	
DSBC-CPLX	protein disulfide isomerase/protein disulfide oxidoreductase - DsbC<sub>reduced</sub>	((DSBC-MONOMER, 2))	(CPLX0-8002)
DSBG-CPLX	DsbG<sub>reduced</sub>	((DSBG-MONOMER, 2))	(CPLX0-8004)
DTDPGLUCDEHYDRAT-CPLX	dTDP-glucose 4,6-dehydratase	((DTDPGLUCDEHYDRAT-MONOMER, 2))	
DTDPRHAMSYNTHMULTI-CPLX	dTDP-L-rhamnose synthetase	((DTDPDEHYDRHAMEPIM-MONOMER, 1) (DTDPDEHYRHAMREDUCT-MONOMER, 1))	
DUTP-PYROP-CPLX	deoxyuridine triphosphatase	((DUTP-PYROP-MONOMER, 3))	
DXPREDISOM-CPLX	1-deoxy-D-xylulose 5-phosphate reductoisomerase	((DXPREDISOM-MONOMER, 2))	
E1O	2-oxoglutarate decarboxylase, thiamine-requiring	((E1O-MONOMER, 12))	
E1P-CPLX	pyruvate dehydrogenase	((E1P-MONOMER, 2))	
E2O	dihydrolipoyltranssuccinylase	((E2O-MONOMER, 24))	
E3-CPLX	lipoamide dehydrogenase	((E3-MONOMER, 2))	
ECNAB-CPLX	entericidin toxin-antitoxin complex	((MONOMER0-1563, 1) (MONOMER0-1562, 1))	
EIISGA	L-ascorbate PTS permease	((YJFU-MONOMER, 1) (YJFT-MONOMER, 1) (SGAT-MONOMER, 2))	
EIISGC	PTS permease - unknown specificity	((MONOMER0-2121, 1) (SGCC-MONOMER, 1) (SGCA-MONOMER, 1))	
ENOLASE-CPLX	enolase	((ENOLASE-MONOMER, 2))	
ENTA-CPLX	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	((ENTA-MONOMER, 8))	
ENTB-CPLX	EntB isochorismatase / aryl-carrier protein	((ENTB-MONOMER, 2))	(CPLX0-7849)
ENTE-CPLX	2,3-dihydroxybenzoate-AMP ligase	((ENTE-MONOMER, 2))	
ENTMULTI-CPLX	enterobactin synthase	((ENTB-CPLX, 1) (ENTD-MONOMER, 1) (ENTF-PANT, 1) (ENTE-CPLX, 1))	
ENVZ-CPLX	EnvZ sensory histidine kinase	((ENVZ-MONOMER, 2))	(PHOSPHO-ENVZ)
ERYTH4PDEHYDROG-CPLX	erythrose 4-phosphate dehydrogenase	((ERYTH4PDEHYDROG-MONOMER, 4))	
ETHAMLY-CPLX	ethanolamine ammonia-lyase	((EUTB-MONOMER, 6) (EUTC-MONOMER, 6))	
F-1-CPLX	ATP synthase F<sub>1</sub> complex	((ATPC-MONOMER, 1) (ATPH-MONOMER, 1) (ATPA-CPLX, 1) (ATPG-MONOMER, 1) (ATPD-CPLX, 1))	
F-O-CPLX	ATP synthase F<sub>0</sub> complex	((ATPE-CPLX, 1) (ATPF-CPLX, 1) (ATPB-MONOMER, 1))	
F16B-CPLX	fructose-1,6-bisphosphatase I	((F16B-MONOMER, 4))	
FABA-CPLX	3-hydroxydecanoyl-[acp] dehydrase	((FABA-MONOMER, 2))	
FABB-CPLX	KASI	((FABB-MONOMER, 2))	
FABZ-CPLX	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	((FABZ-MONOMER, 6))	
FADA-CPLX	fatty acid oxidation complex, &beta; component	((FADA-MONOMER, 2))	
FADB-CPLX	fatty acid oxidation complex, &alpha; component	((FADB-MONOMER, 2))	
FAO-CPLX	aerobic fatty acid oxidation complex	((FADB-CPLX, 1) (FADA-CPLX, 1))	
FHLMULTI-CPLX	formate hydrogenlyase complex	((FORMATEDEHYDROGH-MONOMER, 1) (HYDROG3-CPLX, 1))	
FLAGELLAR-MOTOR-COMPLEX	Flagellar Motor Complex	((CPLX0-7450, 1) (FLGH-FLAGELLAR-L-RING, 1) (MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN, 1) (MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN, 1) (FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN, 1) (FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN, 1) (FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN, 1) (FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN, 1) (FLGI-FLAGELLAR-P-RING, 1) (FLIF-FLAGELLAR-MS-RING, 1) (EG11346-MONOMER, 1))	
FOLD-CPLX	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	((FOLD-MONOMER, 2))	
FOLE-CPLX	GTP cyclohydrolase I	((GTP-CYCLOHYDRO-I-MONOMER, 10))	
FOLXTET-CPLX	dihydroneopterin triphosphate 2'-epimerase	((H2NTPEPIM-MONOMER, 8))	
FORMATEDEHYDROGN-CPLX	formate dehydrogenase-N	((ALPHA-SUBUNIT-CPLX, 3))	
FORMATEDEHYDROGO-CPLX	formate dehydrogenase-O	((FDOG-MONOMER, 1) (FDOH-MONOMER, 1) (FDOI-MONOMER, 1))	
FORMHYDROG2-CPLX	hydrogenase 2	((HYBA-MONOMER, 1) (EG11800-MONOMER, 1) (MONOMER0-145, 1) (HYBC-MONOMER, 1))	
FORMHYDROGI-CPLX	hydrogenase 1	((HYAA-MONOMER, 1) (HYAB-MONOMER, 1) (HYAC-MONOMER, 1))	
FORMYLTHFDEFORMYL-CPLX	formyltetrahydrofolate deformylase	((FORMYLTHFDEFORMYL-MONOMER, 6))	
FRUCBISALD-CLASSI	fructose bisphosphate aldolase class I	((FRUCBISALD-CLASSI-MONOMER, 10))	
FRUCBISALD-CLASSII	fructose bisphosphate aldolase class II	((FRUCTBISALD-CLASSII-MONOMER, 2))	
FUMARASE-A	fumarase A	((FUMA-MONOMER, 2))	
FUMARASE-B	fumarase B	((FUMB-MONOMER, 2))	
FUMARASE-C	fumarase C	((FUMC-MONOMER, 4))	
FUMARATE-REDUCTASE	fumarate reductase	((FUM-FLAVO, 1) (FUM-FE-S, 1) (FUM-MEMB1, 1) (FUM-MEMB2, 1))	
GABATRANSAM-CPLX	4-aminobutyrate transaminase	((GABATRANSAM-MONOMER, 2))	
GALACTOACETYLTRAN-CPLX	galactoside O-acetyltransferase	((GALACTOACETYLTRAN-MONOMER, 3))	
GALACTURIDYLYLTRANS-CPLX	galactose-1-phosphate uridylyltransferase	((GALACTURIDYLYLTRANS-MONOMER, 2))	
GAPDH-A-CPLX	glyceraldehyde 3-phosphate dehydrogenase-A complex	((GAPDH-A-MONOMER, 4))	
GCVMULTI-CPLX	glycine cleavage system	((E3-CPLX, 1) (GCVP-CPLX, 1) (LIPOYL-GCVH, 1) (GCVT-MONOMER, 1))	
GCVP-CPLX	glycine decarboxylase	((GCVP-MONOMER, 2))	
GDHA-CPLX	glutamate dehydrogenase	((GDHA-MONOMER, 6))	
GDPMANDEHYDRA-CPLX	GDP-mannose 4,6-dehydratase	((GDPMANDEHYDRA-MONOMER, 2))	
GLNG-CPLX	NtrC transcriptional dual regulator	((PROTEIN-NRI, 2))	
GLNL-CPLX	NtrB sensory histidine kinase	((PROTEIN-NRII, 2))	(PROTEIN-NRIIP)
GLUC1PADENYLTRANS-CPLX	glucose-1-phosphate adenylyltransferase	((GLUC1PADENYLTRANS-MONOMER, 4))	
GLUCONOKINII-CPLX	D-gluconate kinase, thermostable	((GLUCONOKINII-MONOMER, 3))	
GLUCOSAMINE-6-P-DEAMIN-CPLX	glucosamine-6-phosphate deaminase	((GLUCOSAMINE-6-P-DEAMIN-MONOMER, 6))	
GLUCOSE-1-PHOSPHAT-CPLX	3-phytase / glucose-1-phosphatase	((GLUCOSE-1-PHOSPHAT-MONOMER, 2))	
GLUTAMATESYN-CPLX	glutamate synthase	((GLUTAMATESYN-DIMER, 4))	
GLUTAMATESYN-DIMER	glutamate synthase	((GLUSYNSMALL-MONOMER, 1) (GLUSYNLARGE-MONOMER, 1))	
GLUTAMIDOTRANS-CPLX	imidazole glycerol phosphate synthase	((GLUTAMIDOTRANS-MONOMER, 1) (CYCLASE-MONOMER, 1))	
GLUTAMINA-CPLX	glutaminase	((GLUTAMINA-MONOMER, 4))	
GLUTAMINB-CPLX	glutaminase B	((GLUTAMINB-MONOMER, 4))	
GLUTAMINESYN-OLIGOMER	glutamine synthetase	((GLUTAMINESYN-MONOMER, 12))	
GLUTATHIONE-REDUCT-NADPH-CPLX	glutathione reductase	((GLUTATHIONE-REDUCT-NADPH-MONOMER, 2))	
GLUTATHIONE-SYN-CPLX	glutathione synthetase	((GLUTATHIONE-SYN-MONOMER, 4))	
GLUTDECARBOXA-CPLX	glutamate decarboxylase A	((GLUTDECARBOXA-MONOMER, 6))	
GLUTDECARBOXB-CPLX	glutamate decarboxylase B	((GLUTDECARBOXB-MONOMER, 6))	
GLUTKIN-CPLX	&gamma;-glutamyl kinase	((GLUTKIN-MONOMER, 4))	
GLUTRACE-CPLX	glutamate racemase	((GLUTRACE-MONOMER, 2))	
GLUTSEMIALDEHYDROG-CPLX	glutamate-5-semialdehyde dehydrogenase	((GLUTSEMIALDEHYDROG-MONOMER, 4))	
GLYC3PDEHYDROGBIOSYN-CPLX	glycerol-3-phosphate dehydrogenase, biosynthetic	((GLYC3PDEHYDROGBIOSYN-MONOMER, 2))	
GLYCDEH-CPLX	L-1,2-propanediol dehydrogenase / glycerol dehydrogenase	((GLYCDEH-MONOMER, 8))	
GLYCEROL-KIN-CPLX	glycerol kinase	((GLYCEROL-KIN-MONOMER, 4))	
GLYCOPHOSPHORYL-CPLX	glycogen phosphorylase	((GLYCOPHOSPHORYL-MONOMER, 2))	
GLYCPDIESTER-PERI-CPLX	glycerophosphoryl diester phosphodiesterase	((GLYCPDIESTER-PERI-MONOMER, 2))	
GLYOCARBOLIG-CPLX	glyoxylate carboligase	((GLYOCARBOLIG-MONOMER, 2))	
GLYOHMETRANS-CPLX	serine hydroxymethyltransferase	((GLYOHMETRANS-MONOMER, 2))	
GLYOXI-CPLX	glyoxalase I	((GLYOXI-MONOMER, 2))	
GLYS-CPLX	glycyl-tRNA synthetase	((GLYS-MONOMER, 2) (GLYQ-MONOMER, 2))	
GMP-REDUCT-CPLX	GMP reductase	((GMP-REDUCT-MONOMER, 4))	
GMP-SYN-CPLX	GMP synthetase	((GMP-SYN-MONOMER, 2))	
GPT-CPLX	xanthine-guanine phosphoribosyltransferase	((GPT-MONOMER, 4))	
GSAAMINOTRANS-CPLX	glutamate-1-semialdehyde aminotransferase	((GSAAMINOTRANS-MONOMER, 2))	
GSP-CPLX	fused glutathionylspermidine amidase / glutathionylspermidine synthetase	((GSP-MONOMER, 2))	
GST-CPLX	glutathione S-transferase	((GST-MONOMER, 2))	
GTP-CYCLOHYDRO-II-CPLX	GTP cyclohydrolase II	((GTP-CYCLOHYDRO-II-MONOMER, 2))	
GUANYL-KIN-CPLX	guanylate kinase	((GUANYL-KIN-MONOMER, 2))	
H2PTEROATESYNTH-CPLX	dihydropteroate synthase	((H2PTEROATESYNTH-MONOMER, 2))	
HCAMULTI-CPLX	3-phenylpropionate dioxygenase system	((HCAC-MONOMER, 1) (HCAD-MONOMER, 1) (HCAA2-MONOMER, 1) (PHENYLPRODIOXY-MONOMER, 1))	
HISS-CPLX	histidyl-tRNA synthetase	((HISS-MONOMER, 2))	
HISTDEHYD-CPLX	histidinal dehydrogenase / histidinol dehydrogenase	((HISTDEHYD-MONOMER, 2))	
HISTPHOSTRANS-CPLX	histidinol-phosphate aminotransferase	((HISTPHOSTRANS-MONOMER, 2))	
HMP-P-KIN-CPLX	hydroxymethylpyrimidine kinase / phosphohydroxymethylpyrimidine kinase	((HMP-P-KIN-MONOMER, 4))	
HOLO-ACP-SYNTH-CPLX	holo-[acyl-carrier-protein] synthase	((HOLO-ACP-SYNTH-MONOMER, 2))	
HOMOSERKIN-CPLX	homoserine kinase	((HOMOSERKIN-MONOMER, 2))	
HOMSUCTRAN-CPLX	homoserine <i>O</i>-succinyltransferase	((HOMSUCTRAN-MONOMER, 2))	
HSP70-CPLX	DnaK-DnaJ-GrpE chaperone system	((EG10240-MONOMER, 1) (EG10241-MONOMER, 1) (EG10416-MONOMER, 1))	
HYDROG3-CPLX	hydrogenase 3	((HYCD-MONOMER, 1) (HYCC-MONOMER, 1) (HYCF-MONOMER, 1) (HYCG-MONOMER, 1) (HYCBSMALL-MONOMER, 1) (HYCELARGE-MONOMER, 1))	
HYDROPEROXIDI-CPLX	hydroperoxidase I	((HYDROPEROXIDI-MONOMER, 4))	
HYDROPEROXIDII-CPLX	catalase II	((HYDROPEROXIDII-MONOMER, 4))	
IMIDHISTID-CPLX	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	((IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER, 2))	
IMP-DEHYDROG-CPLX	IMP dehydrogenase	((IMP-DEHYDROG-MONOMER, 4))	
ISOCIT-LYASE	isocitrate lyase	((ISOCIT-LYASE-MONOMER, 4))	
ISOCITHASE-CPLX	isocitrate dehydrogenase	((ISOCITDEH-SUBUNIT, 2))	(ISOCITHASE-P)
ISOCITHASE-P	isocitrate dehydrogenase-P	((ISOCITDEH-SUBUNIT, 2))	
KDO-8PPHOSPHAT-CPLX	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase	((G7663-MONOMER, 4))	
KDO-8PSYNTH-CPLX	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	((KDO-8PSYNTH-MONOMER, 4))	
KDPD-CPLX	KdpD sensory histidine kinase	((KDPD-MONOMER, 2))	(PHOSPHO-KDPD)
KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase	((KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER, 3))	
L-GLN-FRUCT-6-P-AMINOTRANS-CPLX	L-glutamine:D-fructose-6-phosphate aminotransferase	((L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER, 2))	
LACTALDREDUCT-CPLX	L-1,2-propanediol oxidoreductase	((LACTALDREDUCT-MONOMER, 2))	
LDC2-CPLX	lysine decarboxylase 2	((LDC2-MONOMER, 10))	
LTAA-CPLX	low-specificity L-threonine aldolase	((LTAA-MONOMER, 4))	
LTARTDEHYDRA-CPLX	L-tartrate dehydratase	((TTDA-CPLX, 1) (TTDB-CPLX, 1))	
LUMAZINESYN-CPLX	6,7-dimethyl-8-ribityllumazine synthase	((LUMAZINESYN-MONOMER, 60))	
LYSDECARBOX-CPLX	lysine decarboxylase 1	((LYSDECARBOX-MONOMER, 10))	
LYSS-CPLX	lysyl-tRNA synthetase, constitutive	((LYSS-MONOMER, 2))	
LYSU-CPLX	Ap<sub>3</sub>A synthetase / Ap<sub>4</sub>A synthetase / lysyl-tRNA synthetase	((LYSU-MONOMER, 2))	
LYXK-CPLX	L-xylulose kinase	((LYXK-MONOMER, 2))	
MALATE-DEHASE	malate dehydrogenase	((MALATE-DEHASE-MONOMER, 2))	
MALDEXPHOSPHORYL-CPLX	maltodextrin phosphorylase	((MALDEXPHOSPHORYL-MONOMER, 2))	
MALIC-NAD-CPLX	malate dehydrogenase, NAD-requiring	((MALIC-NAD-MONOMER, 4))	
MALIC-NADP-CPLX	malate dehydrogenase	((MALIC-NADP-MONOMER, 6))	
MALTACETYLTRAN-CPLX	maltose acetyltransferase	((MALTACETYLTRAN-MONOMER, 2))	
MENE-CPLX	<i>o</i>-succinylbenzoate-CoA ligase	((O-SUCCINYLBENZOATE-COA-LIG-MONOMER, 4))	
MENF-CPLX	isochorismate synthase 2	((MENF-MONOMER, 2))	
METG-CPLX	methionyl-tRNA synthetase	((METG-MONOMER, 2))	
METHGLYSYN-CPLX	methylglyoxal synthase	((METHGLYSYN-MONOMER, 6))	
METHYLENETHFREDUCT-CPLX	5,10-methylenetetrahydrofolate reductase	((METHYLENETHFREDUCT-MONOMER, 4))	
METNIQ-METHIONINE-ABC-CPLX	L-methionine / D-methionine ABC transporter	((ABC-MONOMER, 2) (METI-MONOMER, 1) (METQ-MONOMER, 1))	
MONOMER-2720	Cbl-APS	((G7071-MONOMER, 1) (APS, 1))	
MONOMER-47	RhaR-L-rhamnose DNA-binding transcriptional activator	((PD00222, 1) (RHAMNOSE, 1))	
MONOMER-48	BirA-bio-5'-AMP DNA-binding transcriptional repressor	((BIOTINLIG-MONOMER, 1) (BIO-5-AMP, 1))	
MONOMER-51	FadR-acyl-CoA	((PD01520, 1) (ACYL-COA, 1))	
MONOMER-52	GalR-galactose	((PD03028, 1) (GALACTOSE, 1))	
MONOMER-53	GalS-galactose	((PD00261, 1) (GALACTOSE, 1))	
MONOMER-54	GlpR-glycerol-3-phosphate	((PD03576, 1) (GLYCEROL-3P, 1))	
MONOMER-55	GntR-gluconate	((PD03585, 1) (GLUCONATE, 1))	
MONOMER-56	GutR-sorbitol	((PD00283, 1) (SORBITOL, 1))	
MONOMER-57	IclR-PEP	((PD04099, 1) (PHOSPHO-ENOL-PYRUVATE, 1))	
MONOMER-58	MarR-salicylate	((PD00364, 1) (CPD-110, 1))	
MONOMER-59	PdhR-pyruvate	((EG11088-MONOMER, 1) (PYRUVATE, 1))	
MONOMER-60	RbsR-ribose	((RIBOSE, 1) (PD03867, 1))	
MONOMER0-1301	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator	((G7891-MONOMER, 1))	
MONOMER0-1441	MhpR-3HPP DNA-binding transcriptional activator	((G6201-MONOMER, 1) (3-HYDROXYPHENYL-PROPIONATE, 1))	
MONOMER0-155	Lrp-Leucine DNA-binding transcriptional dual regulator	((PD00353, 1) (LEU, 1))	
MONOMER0-157	MetJ-S-adenosylmethionine	((PD04032, 1) (S-ADENOSYLMETHIONINE, 1))	
MONOMER0-158	MalT-Maltotriose-ATP DNA-binding transcriptional activator	((PD00237, 1) (MALTOTRIOSE, 1) (ATP, 1))	
MONOMER0-159	LacI-allolactose	((PD00763, 1) (ALLOLACTOSE, 1))	
MONOMER0-160	DnaA-ATP transcriptional dual regulator	((PD03831, 1) (ATP, 1))	
MONOMER0-161	MelR-Melibiose transcriptional activator	((PD00208, 1) (MELIBIOSE, 1))	
MONOMER0-162	TyrR-Tyrosine DNA-binding transcriptional repressor	((PD00413, 1) (TYR, 1))	
MONOMER0-163	TyrR-Phenylalanine DNA-binding transcriptional repressor	((PD00413, 1) (PHE, 1))	
MONOMER0-164	CynR-Cyanate DNA-binding transcriptional activator	((PD00291, 1) (CPD-69, 1))	
MONOMER0-165	XylR-Xylose DNA-binding transcriptional activator	((EG20253-MONOMER, 1) (XYLOSE, 1))	
MONOMER0-1761	MalT-MalK	((PD00237, 1) (MALK-MONOMER, 1))	
MONOMER0-1781	NikR-Ni transcriptional repressor	((EG11519-MONOMER, 1) (NI+2, 1))	
MONOMER0-183	FhlA-Formate DNA-binding transcriptional activator	((PD02936, 1) (FORMATE, 1))	
MONOMER0-2081	HcaR-HCA DNA-binding transcriptional dual regulator	((G7331-MONOMER, 1) (3-PHENYLPROPIONATE, 1))	
MONOMER0-2101	UxuR-fructuronate	((FRUCTURONATE, 1) (EG20249-MONOMER, 1))	
MONOMER0-2162	UlaR-L-ascorbate-6P	((G7854-MONOMER, 1) (L-ASCORBATE-6-PHOSPHATE, 1))	
MONOMER0-2201	AllR-glyox	((G6276-MONOMER, 1) (GLYOX, 1))	
MONOMER0-2221	AllS-allantoin DNA-binding transcriptional activator	((G6274-MONOMER, 1) (S-ALLANTOIN, 1))	
MONOMER0-2261	NagC-NAcGlc-6-P	((PD00266, 1) (N-ACETYL-D-GLUCOSAMINE-6-P, 1))	
MONOMER0-2341	NanR-NANA	((N-ACETYLNEURAMINATE, 1) (G7678-MONOMER, 1))	
MONOMER0-2421	PrpR-2-methylcitrate DNA-binding transcriptional dual regulator	((G6195-MONOMER, 1) (CPD-622, 1))	
MONOMER0-2461	MtlR-mannitol	((PD00369, 1) (MANNITOL, 1))	
MONOMER0-2482	AlsR-allose	((ALLOSE, 1) (G7821-MONOMER, 1))	
MONOMER0-2863	oxidized ribonucleoside-triphosphate reductase	((RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER, 2))	
MONOMER0-46	NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator	((PD00474, 1) (NA+, 1))	
MONOMER0-49	BetI-choline	((PD00251, 1) (CHOLINE, 1))	
MONOMER0-562	GlcC-Glycolate DNA-binding transcriptional dual regulator	((G7546-MONOMER, 1) (GLYCOLLATE, 1))	
MONOMER0-941	GcvR-gly	((EG11149-MONOMER, 1) (GLY, 1))	
MUTHLS-CPLX	MutHLS complex, methyl-directed mismatch repair	((EG11281-MONOMER, 1) (EG10625-MONOMER, 1) (EG10624-MONOMER, 1))	
N-ACETYLTRANSFER-CPLX	N-acetylglutamate synthase	((N-ACETYLTRANSFER-MONOMER, 6))	
NAD-SYNTH-CPLX	NAD synthetase, NH<sub>3</sub>-dependent	((NAD-SYNTH-MONOMER, 2))	
NADH-DHI-CPLX	NADH:ubiquinone oxidoreductase I	((NUOA-MONOMER, 1) (NUOH-MONOMER, 1) (NUOJ-MONOMER, 1) (NUOK-MONOMER, 1) (NUOL-MONOMER, 1) (NUOM-MONOMER, 1) (NUON-MONOMER, 1) (CPLX0-3361, 1) (CPLX0-3362, 1))	
NAG1P-URIDYLTRANS-CPLX	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	((NAG1P-URIDYLTRANS-MONOMER, 3))	
NAG6PDEACET-CPLX	N-acetylglucosamine-6-phosphate deacetylase	((NAG6PDEACET-MONOMER, 4))	
NAP-CPLX	periplasmic nitrate reductase	((NAPB-MONOMER, 1) (NAPC-MONOMER, 1) (CPLX0-3241, 1) (NAPA-MONOMER, 1))	
NARQ-CPLX	NarQ sensory histidine kinase	((NARQ-MONOMER, 2))	
NARX-CPLX	NarX sensory histidine kinase	((NARX-MONOMER, 2))	
NIRB-CPLX	dimer of large subunit of nitrite reductase	((NIRB-MONOMER, 2))	
NITRATREDUCTA-CPLX	nitrate reductase A	((NARG-MONOMER, 1) (NARH-MONOMER, 1) (NARI-MONOMER, 1))	
NITRATREDUCTZ-CPLX	nitrate reductase Z	((NARY-MONOMER, 1) (NARZ-MONOMER, 1) (NARV-MONOMER, 1))	
NITRITREDUCT-CPLX	nitrite reductase	((NIRD-MONOMER, 1) (NIRB-CPLX, 1))	
NQOR-CPLX	NADH dehydrogenase (quinone)	((NQOR-MONOMER, 2))	
NRDACTMULTI-CPLX	anaerobic nucleoside-triphosphate reductase activating system	((RIBONUCLEOSIDE-TRIP-REDUCT-CPLX, 1) (CPLX0-229, 1) (FLAVONADPREDUCT-MONOMER, 1))	
NRDE-CPLX	ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer	((NRDE-MONOMER, 2))	
NRDF-CPLX	ribonucleoside-diphosphate reductase 2, &beta; subunit dimer	((NRDF-MONOMER, 2))	
NRFMULTI-CPLX	formate dependent nitrite reductase	((NRFD-MONOMER, 1) (NRFC-MONOMER, 1) (CYTOCHROMEC-MONOMER, 1) (CYTOCHROMEC552-MONOMER, 1))	
NUCLEOSIDE-DIP-KIN-CPLX	nucleoside diphosphate kinase	((NUCLEOSIDE-DIP-KIN-MONOMER, 4))	
O-SUCCHOMOSERLYASE-CPLX	O-succinylhomoserine lyase / O-succinylhomoserine(thiol)-lyase	((O-SUCCHOMOSERLYASE-MONOMER, 4))	
ORNCARBAMTRANSFERF-CPLX	ornithine carbamoyltransferase chain F	((CHAINF-MONOMER, 3))	
ORNCARBAMTRANSFERI-CPLX	ornithine carbamoyltransferase chain I	((CHAINI-MONOMER, 3))	
ORNDECARBOX-BIO-CPLX	ornithine decarboxylase, biosynthetic	((ORNDECARBOX-BIO-MONOMER, 2))	
ORNDECARBOXDEG-CPLX	ornithine decarboxylase, degradative	((ORNDECARBOXDEG-MONOMER, 2))	
OROPRIBTRANS-CPLX	orotate phosphoribosyltransferase	((OROPRIBTRANS-MONOMER, 2))	
OROTPDECARB-CPLX	orotidine-5'-phosphate decarboxylase	((OROTPDECARB-MONOMER, 2))	
PABASYN-CPLX	4-amino-4-deoxychorismate synthase	((PABASYN-COMPI-MONOMER, 1) (PABASYN-COMPII-MONOMER, 1))	
PABSYNMULTI-CPLX	<i>para</i>-aminobenzoate synthase multi-enzyme complex	((PABASYN-CPLX, 1) (ADCLY-CPLX, 1))	
PANTOATE-BETA-ALANINE-LIG-CPLX	pantothenate synthetase	((PANTOATE-BETA-ALANINE-LIG-MONOMER, 2))	
PANTOTHENATE-KIN-CPLX	pantothenate kinase	((PANTOTHENATE-KIN-MONOMER, 2))	
PAPSSULFOTRANS-CPLX	3'-phospho-adenylylsulfate reductase	((PAPSSULFOTRANS-MONOMER, 2))	
PC00003	AraC DNA-binding transcriptional dual regulator	((PD00242, 2))	
PC00004	CRP transcriptional dual regulator	((PD00257, 2))	
PC00005	ArgR transcriptional dual regulator	((PD00194, 6))	
PC00007	TrpR transcriptional repressor	((PD00423, 2))	
PC00010	LexA DNA-binding transcriptional repressor	((PD00205, 2))	
PC00027	IHF DNA-binding transcriptional dual regulator	((PD00347, 1) (PD00348, 1))	
PC00033	PurR transcriptional repressor	((PD00219, 2))	
PC00040	CysB transcriptional dual regulator	((PD00232, 4))	
PC00061	Cra DNA-binding transcriptional dual regulator	((PD00521, 4))	
PC00063	GatR DNA-binding transcriptional repressor	((PD00338, 1) (PD02366, 1))	
PC00084	RcsAB DNA-binding transcriptional dual regulator	((RCSB-MONOMER, 1) (PD02233, 1))	
PC00086	RhaS transcriptional activator	((PD00221, 2))	
PC00103	MngR DNA-binding transcriptional repressor	((PD01103, 2))	
PDXH-CPLX	pyridoxine 5'-phosphate oxidase / pyridoxamine 5'-phosphate oxidase	((PDXH-MONOMER, 2))	
